5.000000000000000000e-01 7.808823024602802310e-01
5.494464013827623505e-01 7.568460198036515152e-01
6.037826959849352804e-01 7.298867950690980377e-01
6.634924590522102150e-01 6.997632363849606296e-01
7.291070879416733375e-01 6.617726023391812262e-01
8.012105313844353205e-01 6.243368421052631900e-01
8.804444864382976466e-01 5.832273201754386571e-01
9.675141093816338467e-01 5.384672280701754410e-01
1.063194291373574130e+00 4.902593026315790192e-01
1.168336554731812749e+00 4.390024415204678010e-01
1.283876631202658380e+00 3.854348153021442402e-01
1.410842789667449138e+00 3.304846471734892432e-01
1.550364987399195149e+00 2.729518525570569509e-01
1.703684926312639014e+00 2.192345150852045010e-01
1.872167103705072222e+00 1.688229811842086037e-01
2.057310955835881305e+00 1.235843622611956655e-01
2.260764202418712454e+00 8.422978165307483389e-02
2.484337510787864911e+00 5.355252475771001691e-02
2.730020610245203372e+00 3.104069781243053508e-02
3.000000000000000444e+00 1.589799318889795546e-02
