# Chunk-averaged data for fix densityRegions2 and group client_coms
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
49500000 50 50.00000000000001
  1 0.01 1.96049 0.00156839
  2 0.03 1.94912 0.0015593
  3 0.05 1.95988 0.0015679
  4 0.07 1.95202 0.00156162
  5 0.09 1.92988 0.0015439
  6 0.11 1.93784 0.00155027
  7 0.13 1.93165 0.00154532
  8 0.15 1.92492 0.00153993
  9 0.17 1.87518 0.00150015
  10 0.19 1.76163 0.00140931
  11 0.21 1.50831 0.00120664
  12 0.23 1.11008 0.000888065
  13 0.25 0.714204 0.000571363
  14 0.27 0.421837 0.000337469
  15 0.29 0.267653 0.000214122
  16 0.31 0.207041 0.000165633
  17 0.33 0.189122 0.000151298
  18 0.35 0.182755 0.000146204
  19 0.37 0.170041 0.000136033
  20 0.39 0.152857 0.000122286
  21 0.41 0.145388 0.00011631
  22 0.43 0.159163 0.000127331
  23 0.45 0.181816 0.000145453
  24 0.47 0.188551 0.000150841
  25 0.49 0.21049 0.000168392
  26 0.51 0.234204 0.000187363
  27 0.53 0.270531 0.000216424
  28 0.55 0.281347 0.000225078
  29 0.57 0.266367 0.000213094
  30 0.59 0.218796 0.000175037
  31 0.61 0.161673 0.000129339
  32 0.63 0.147735 0.000118188
  33 0.65 0.164 0.0001312
  34 0.67 0.191551 0.000153241
  35 0.69 0.225367 0.000180294
  36 0.71 0.247163 0.000197731
  37 0.73 0.360755 0.000288604
  38 0.75 0.622388 0.00049791
  39 0.77 1.01361 0.00081089
  40 0.79 1.44288 0.0011543
  41 0.81 1.74653 0.00139722
  42 0.83 1.88 0.001504
  43 0.85 1.92604 0.00154083
  44 0.87 1.93031 0.00154424
  45 0.89 1.94729 0.00155783
  46 0.91 1.9491 0.00155928
  47 0.93 1.95984 0.00156787
  48 0.95 1.93716 0.00154973
  49 0.97 1.93855 0.00155084
  50 0.99 1.9449 0.00155592
99000000 50 50
  1 0.01 1.92353 0.00153882
  2 0.03 1.91367 0.00153094
  3 0.05 1.91988 0.0015359
  4 0.07 1.9271 0.00154168
  5 0.09 1.91 0.001528
  6 0.11 1.90814 0.00152651
  7 0.13 1.88555 0.00150844
  8 0.15 1.88353 0.00150682
  9 0.17 1.83802 0.00147042
  10 0.19 1.71796 0.00137437
  11 0.21 1.48231 0.00118584
  12 0.23 1.14929 0.000919429
  13 0.25 0.785776 0.00062862
  14 0.27 0.502735 0.000402188
  15 0.29 0.318204 0.000254563
  16 0.31 0.234898 0.000187918
  17 0.33 0.197347 0.000157878
  18 0.35 0.164816 0.000131853
  19 0.37 0.150061 0.000120049
  20 0.39 0.143878 0.000115102
  21 0.41 0.154755 0.000123804
  22 0.43 0.178939 0.000143151
  23 0.45 0.196776 0.00015742
  24 0.47 0.21049 0.000168392
  25 0.49 0.218327 0.000174661
  26 0.51 0.233816 0.000187053
  27 0.53 0.230898 0.000184718
  28 0.55 0.194673 0.000155739
  29 0.57 0.157653 0.000126122
  30 0.59 0.142714 0.000114171
  31 0.61 0.145837 0.000116669
  32 0.63 0.163224 0.00013058
  33 0.65 0.165673 0.000132539
  34 0.67 0.170347 0.000136278
  35 0.69 0.185816 0.000148653
  36 0.71 0.243408 0.000194727
  37 0.73 0.420918 0.000336735
  38 0.75 0.769857 0.000615886
  39 0.77 1.22324 0.000978596
  40 0.79 1.59957 0.00127966
  41 0.81 1.7839 0.00142712
  42 0.83 1.87108 0.00149687
  43 0.85 1.91567 0.00153254
  44 0.87 1.91531 0.00153224
  45 0.89 1.92739 0.00154191
  46 0.91 1.93347 0.00154678
  47 0.93 1.91327 0.00153061
  48 0.95 1.92624 0.001541
  49 0.97 1.92339 0.00153871
  50 0.99 1.92665 0.00154132
148500000 50 50.00000000000001
  1 0.01 1.86337 0.00149069
  2 0.03 1.88208 0.00150567
  3 0.05 1.88757 0.00151006
  4 0.07 1.88996 0.00151197
  5 0.09 1.90269 0.00152216
  6 0.11 1.89 0.001512
  7 0.13 1.8938 0.00151504
  8 0.15 1.87665 0.00150132
  9 0.17 1.85967 0.00148774
  10 0.19 1.76441 0.00141153
  11 0.21 1.56437 0.00125149
  12 0.23 1.28408 0.00102727
  13 0.25 0.891449 0.000713159
  14 0.27 0.496469 0.000397176
  15 0.29 0.269327 0.000215461
  16 0.31 0.192735 0.000154188
  17 0.33 0.18298 0.000146384
  18 0.35 0.181571 0.000145257
  19 0.37 0.180694 0.000144555
  20 0.39 0.199306 0.000159445
  21 0.41 0.217776 0.00017422
  22 0.43 0.22749 0.000181992
  23 0.45 0.205714 0.000164571
  24 0.47 0.173816 0.000139053
  25 0.49 0.149612 0.00011969
  26 0.51 0.152245 0.000121796
  27 0.53 0.160694 0.000128555
  28 0.55 0.154429 0.000123543
  29 0.57 0.146041 0.000116833
  30 0.59 0.144551 0.000115641
  31 0.61 0.132837 0.000106269
  32 0.63 0.139673 0.000111739
  33 0.65 0.167429 0.000133943
  34 0.67 0.172245 0.000137796
  35 0.69 0.169755 0.000135804
  36 0.71 0.241469 0.000193176
  37 0.73 0.462571 0.000370057
  38 0.75 0.888306 0.000710645
  39 0.77 1.37124 0.001097
  40 0.79 1.68384 0.00134707
  41 0.81 1.81963 0.00145571
  42 0.83 1.85894 0.00148715
  43 0.85 1.88751 0.00151001
  44 0.87 1.89573 0.00151659
  45 0.89 1.88318 0.00150655
  46 0.91 1.87894 0.00150315
  47 0.93 1.86814 0.00149451
  48 0.95 1.86949 0.00149559
  49 0.97 1.8501 0.00148008
  50 0.99 1.87341 0.00149873
198000000 50 49.99999999999999
  1 0.01 1.91671 0.00153337
  2 0.03 1.91547 0.00153238
  3 0.05 1.91059 0.00152847
  4 0.07 1.90435 0.00152348
  5 0.09 1.89908 0.00151927
  6 0.11 1.87551 0.00150041
  7 0.13 1.86635 0.00149308
  8 0.15 1.83114 0.00146491
  9 0.17 1.79855 0.00143884
  10 0.19 1.7308 0.00138464
  11 0.21 1.60288 0.0012823
  12 0.23 1.36169 0.00108936
  13 0.25 0.988694 0.000790955
  14 0.27 0.613816 0.000491053
  15 0.29 0.339245 0.000271396
  16 0.31 0.175449 0.000140359
  17 0.33 0.112184 8.97469e-05
  18 0.35 0.0944898 7.55918e-05
  19 0.37 0.0986939 7.89551e-05
  20 0.39 0.106204 8.49633e-05
  21 0.41 0.120878 9.6702e-05
  22 0.43 0.143347 0.000114678
  23 0.45 0.157245 0.000125796
  24 0.47 0.171673 0.000137339
  25 0.49 0.155837 0.000124669
  26 0.51 0.130265 0.000104212
  27 0.53 0.131429 0.000105143
  28 0.55 0.138898 0.000111118
  29 0.57 0.160306 0.000128245
  30 0.59 0.180163 0.000144131
  31 0.61 0.205776 0.00016462
  32 0.63 0.217959 0.000174367
  33 0.65 0.21002 0.000168016
  34 0.67 0.219531 0.000175624
  35 0.69 0.214959 0.000171967
  36 0.71 0.264347 0.000211478
  37 0.73 0.419673 0.000335739
  38 0.75 0.767878 0.000614302
  39 0.77 1.22702 0.000981616
