# Chunk-averaged data for fix densityRegions3 and group polymer
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
49500000 50 25400
  1 0.01 0 0
  2 0.03 0 0
  3 0.05 0 0
  4 0.07 0 0
  5 0.09 0 0
  6 0.11 0 0
  7 0.13 0.00289796 2.31837e-06
  8 0.15 0.0442857 3.54286e-05
  9 0.17 0.395918 0.000316735
  10 0.19 2.56324 0.0020506
  11 0.21 14.5615 0.0116492
  12 0.23 69.5478 0.0556382
  13 0.25 233.904 0.187124
  14 0.27 513.405 0.410724
  15 0.29 823.958 0.659166
  16 0.31 1042.95 0.834359
  17 0.33 1115.68 0.892544
  18 0.35 1126.68 0.901343
  19 0.37 1124.24 0.899394
  20 0.39 1133.54 0.90683
  21 0.41 1143.51 0.914812
  22 0.43 1150.19 0.920153
  23 0.45 1136.27 0.909014
  24 0.47 1090.55 0.872441
  25 0.49 1035.06 0.828048
  26 0.51 1021.61 0.817289
  27 0.53 1080.78 0.864622
  28 0.55 1146.48 0.917183
  29 0.57 1156.38 0.925103
  30 0.59 1118.63 0.894905
  31 0.61 1074.42 0.859535
  32 0.63 1085.82 0.868654
  33 0.65 1098.55 0.878842
  34 0.67 1075.63 0.860504
  35 0.69 1002.83 0.802262
  36 0.71 841.32 0.673056
  37 0.73 566.851 0.45348
  38 0.75 265.185 0.212148
  39 0.77 83.23 0.066584
  40 0.79 18.6685 0.0149348
  41 0.81 4.11265 0.00329012
  42 0.83 1.44884 0.00115907
  43 0.85 0.610204 0.000488163
  44 0.87 0.223327 0.000178661
  45 0.89 0.0934898 7.47918e-05
  46 0.91 0.0555714 4.44571e-05
  47 0.93 0.0222857 1.78286e-05
  48 0.95 0.00114286 9.14286e-07
  49 0.97 0 0
  50 0.99 0 0
99000000 50 25400
  1 0.01 0 0
  2 0.03 0 0
  3 0.05 0 0
  4 0.07 0 0
  5 0.09 0 0
  6 0.11 0.000857143 6.85714e-07
  7 0.13 0.00989796 7.91837e-06
  8 0.15 0.0960204 7.68163e-05
  9 0.17 0.696857 0.000557486
  10 0.19 4.09857 0.00327886
  11 0.21 18.3343 0.0146674
  12 0.23 67.1476 0.0537181
  13 0.25 200.685 0.160548
  14 0.27 453.987 0.36319
  15 0.29 757.149 0.605719
  16 0.31 992.828 0.794262
  17 0.33 1108.46 0.886764
  18 0.35 1145.73 0.916581
  19 0.37 1138.79 0.911031
  20 0.39 1122.82 0.898254
  21 0.41 1133.82 0.907057
  22 0.43 1141.36 0.913088
  23 0.45 1130.37 0.904293
  24 0.47 1118.82 0.895058
  25 0.49 1128.82 0.903055
  26 0.51 1139.78 0.911826
  27 0.53 1151.24 0.920996
  28 0.55 1168.06 0.93445
  29 0.57 1182.66 0.946132
  30 0.59 1178.86 0.943091
  31 0.61 1155.57 0.924453
  32 0.63 1136.54 0.909233
  33 0.65 1094.88 0.875904
  34 0.67 1028.02 0.822415
  35 0.69 926.528 0.741222
  36 0.71 730.862 0.58469
  37 0.73 467.293 0.373835
  38 0.75 230.871 0.184697
  39 0.77 98.7793 0.0790234
  40 0.79 34.3724 0.0274979
  41 0.81 9.33251 0.00746601
  42 0.83 1.99424 0.0015954
  43 0.85 0.301245 0.000240996
  44 0.87 0.0300612 2.4049e-05
  45 0.89 0.00104082 8.32653e-07
  46 0.91 0 0
  47 0.93 0 0
  48 0.95 0 0
  49 0.97 0 0
  50 0.99 0 0
148500000 50 25400.000000000004
  1 0.01 0 0
  2 0.03 0 0
  3 0.05 0 0
  4 0.07 0 0
  5 0.09 0.000489796 3.91837e-07
  6 0.11 0.00589796 4.71837e-06
  7 0.13 0.0343265 2.74612e-05
  8 0.15 0.168755 0.000135004
  9 0.17 0.595224 0.00047618
  10 0.19 2.69492 0.00215593
  11 0.21 14.2383 0.0113906
  12 0.23 64.5434 0.0516347
  13 0.25 224.952 0.179961
  14 0.27 529.116 0.423293
  15 0.29 824.061 0.659249
  16 0.31 996.637 0.79731
  17 0.33 1073.21 0.858571
  18 0.35 1106.84 0.88547
  19 0.37 1093.83 0.875066
  20 0.39 1098.07 0.878453
  21 0.41 1136.26 0.909004
  22 0.43 1174.03 0.939225
  23 0.45 1171.01 0.936805
  24 0.47 1126.27 0.901015
  25 0.49 1110.24 0.888196
  26 0.51 1125.31 0.900244
  27 0.53 1131.64 0.90531
  28 0.55 1140.39 0.912309
  29 0.57 1137.7 0.910158
  30 0.59 1140.34 0.912272
  31 0.61 1139.75 0.911797
  32 0.63 1108.01 0.886411
  33 0.65 1073.71 0.858966
  34 0.67 1022.88 0.818302
  35 0.69 924.544 0.739635
  36 0.71 761.891 0.609513
  37 0.73 524.51 0.419608
  38 0.75 278.197 0.222558
  39 0.77 108.46 0.0867678
  40 0.79 29.7865 0.0238292
  41 0.81 5.40278 0.00432222
  42 0.83 0.629429 0.000503543
  43 0.85 0.0603469 4.82776e-05
  44 0.87 0.00538776 4.3102e-06
  45 0.89 8.16327e-05 6.53061e-08
  46 0.91 0 0
  47 0.93 0 0
  48 0.95 0 0
  49 0.97 0 0
  50 0.99 0 0
