# Chunk-averaged data for fix densityRegions2 and group client_coms
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
49500000 50 50
  1 0.01 0.10602 8.48163e-05
  2 0.03 0.108408 8.67265e-05
  3 0.05 0.107204 8.57633e-05
  4 0.07 0.112327 8.98612e-05
  5 0.09 0.112857 9.02857e-05
  6 0.11 0.114857 9.18857e-05
  7 0.13 0.122061 9.7649e-05
  8 0.15 0.130367 0.000104294
  9 0.17 0.160224 0.00012818
  10 0.19 0.235163 0.000188131
  11 0.21 0.423143 0.000338514
  12 0.23 0.752408 0.000601927
  13 0.25 1.12873 0.000902988
  14 0.27 1.36259 0.00109007
  15 0.29 1.75294 0.00140235
  16 0.31 2.28086 0.00182469
  17 0.33 2.46994 0.00197595
  18 0.35 2.10014 0.00168011
  19 0.37 1.76563 0.00141251
  20 0.39 1.67388 0.0013391
  21 0.41 1.87914 0.00150331
  22 0.43 1.90541 0.00152433
  23 0.45 1.76741 0.00141393
  24 0.47 1.57027 0.00125621
  25 0.49 1.59114 0.00127291
  26 0.51 1.65824 0.0013266
  27 0.53 1.8168 0.00145344
  28 0.55 1.76978 0.00141582
  29 0.57 1.88076 0.0015046
  30 0.59 1.85065 0.00148052
  31 0.61 1.72676 0.0013814
  32 0.63 1.74651 0.00139721
  33 0.65 1.9179 0.00153432
  34 0.67 2.00186 0.00160149
  35 0.69 1.91171 0.00152937
  36 0.71 1.49951 0.00119961
  37 0.73 1.15171 0.000921371
  38 0.75 0.90751 0.000726008
  39 0.77 0.663694 0.000530955
  40 0.79 0.46049 0.000368392
  41 0.81 0.288408 0.000230727
  42 0.83 0.184816 0.000147853
  43 0.85 0.130163 0.000104131
  44 0.87 0.107265 8.58122e-05
  45 0.89 0.0982653 7.86122e-05
  46 0.91 0.0953469 7.62776e-05
  47 0.93 0.0999592 7.99673e-05
  48 0.95 0.0969184 7.75347e-05
  49 0.97 0.0989592 7.91673e-05
  50 0.99 0.102898 8.23184e-05
99000000 50 49.999999999999986
  1 0.01 0.124714 9.97714e-05
  2 0.03 0.122939 9.8351e-05
  3 0.05 0.124653 9.97224e-05
  4 0.07 0.124857 9.98857e-05
  5 0.09 0.127204 0.000101763
  6 0.11 0.130429 0.000104343
  7 0.13 0.128673 0.000102939
  8 0.15 0.134469 0.000107576
  9 0.17 0.15202 0.000121616
  10 0.19 0.209429 0.000167543
  11 0.21 0.356347 0.000285078
  12 0.23 0.690878 0.000552702
  13 0.25 1.05108 0.000840865
  14 0.27 1.38461 0.00110769
  15 0.29 1.70029 0.00136023
  16 0.31 1.95924 0.0015674
  17 0.33 2.24241 0.00179393
  18 0.35 2.44073 0.00195259
  19 0.37 2.54518 0.00203615
  20 0.39 2.02916 0.00162333
  21 0.41 1.63065 0.00130452
  22 0.43 1.54963 0.00123971
  23 0.45 1.76092 0.00140873
  24 0.47 1.96455 0.00157164
  25 0.49 1.83629 0.00146903
  26 0.51 1.8381 0.00147048
  27 0.53 2.0218 0.00161744
  28 0.55 1.78894 0.00143115
  29 0.57 1.73061 0.00138449
  30 0.59 1.9061 0.00152488
  31 0.61 1.7399 0.00139192
  32 0.63 1.53331 0.00122664
  33 0.65 1.60014 0.00128011
  34 0.67 1.77006 0.00141605
  35 0.69 1.9431 0.00155448
  36 0.71 1.67957 0.00134366
  37 0.73 1.12173 0.000897388
  38 0.75 0.773796 0.000619037
  39 0.77 0.481939 0.000385551
  40 0.79 0.271204 0.000216963
  41 0.81 0.168245 0.000134596
  42 0.83 0.130714 0.000104571
  43 0.85 0.126245 0.000100996
  44 0.87 0.123041 9.84327e-05
  45 0.89 0.119837 9.58694e-05
  46 0.91 0.124918 9.99347e-05
  47 0.93 0.122286 9.78286e-05
  48 0.95 0.123429 9.87429e-05
  49 0.97 0.11849 9.47918e-05
  50 0.99 0.121122 9.6898e-05
148500000 50 50
  1 0.01 0.151857 0.000121486
  2 0.03 0.146714 0.000117371
  3 0.05 0.140796 0.000112637
  4 0.07 0.140531 0.000112424
  5 0.09 0.137449 0.000109959
  6 0.11 0.134939 0.000107951
  7 0.13 0.141735 0.000113388
  8 0.15 0.139612 0.00011169
  9 0.17 0.154776 0.00012382
  10 0.19 0.195469 0.000156376
  11 0.21 0.300592 0.000240473
  12 0.23 0.576122 0.000460898
  13 0.25 1.01455 0.000811641
  14 0.27 1.38884 0.00111107
  15 0.29 1.68692 0.00134953
  16 0.31 1.93353 0.00154682
  17 0.33 1.99571 0.00159657
  18 0.35 1.84014 0.00147211
  19 0.37 1.95629 0.00156503
  20 0.39 2.057 0.0016456
  21 0.41 1.90237 0.00152189
  22 0.43 1.64459 0.00131567
  23 0.45 1.89384 0.00151507
  24 0.47 1.78306 0.00142645
  25 0.49 1.70463 0.00136371
  26 0.51 1.77961 0.00142369
  27 0.53 2.05906 0.00164725
  28 0.55 2.12171 0.00169737
  29 0.57 1.88335 0.00150668
  30 0.59 1.841 0.0014728
  31 0.61 1.78549 0.00142839
  32 0.63 1.8249 0.00145992
  33 0.65 1.81939 0.00145551
  34 0.67 1.71551 0.00137241
  35 0.69 1.72608 0.00138087
  36 0.71 1.66294 0.00133035
  37 0.73 1.43045 0.00114436
  38 0.75 0.958224 0.00076658
  39 0.77 0.501 0.0004008
  40 0.79 0.279531 0.000223624
  41 0.81 0.185224 0.00014818
  42 0.83 0.148163 0.000118531
  43 0.85 0.137694 0.000110155
  44 0.87 0.136 0.0001088
  45 0.89 0.133939 0.000107151
  46 0.91 0.139612 0.00011169
  47 0.93 0.141327 0.000113061
  48 0.95 0.141388 0.00011311
  49 0.97 0.142041 0.000113633
  50 0.99 0.144306 0.000115445
