# Chunk-averaged data for fix densityRegions3 and group polymer
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
49500000 50 25400.000000000007
  1 0.01 0 0
  2 0.03 0 0
  3 0.05 0 0
  4 0.07 0 0
  5 0.09 0 0
  6 0.11 0.0077551 6.20408e-06
  7 0.13 0.20298 0.000162384
  8 0.15 2.15661 0.00172529
  9 0.17 12.0098 0.00960787
  10 0.19 40.92 0.032736
  11 0.21 108.387 0.0867097
  12 0.23 247.989 0.198392
  13 0.25 457.89 0.366312
  14 0.27 679.822 0.543858
  15 0.29 848.056 0.678445
  16 0.31 961.113 0.768891
  17 0.33 1009.97 0.807979
  18 0.35 1042.82 0.834254
  19 0.37 1044.99 0.83599
  20 0.39 1035.84 0.828675
  21 0.41 1049.21 0.839369
  22 0.43 1077.1 0.861681
  23 0.45 1041.73 0.833382
  24 0.47 998.832 0.799065
  25 0.49 1030.57 0.824452
  26 0.51 1078.48 0.862782
  27 0.53 1093.55 0.874841
  28 0.55 1122.79 0.898233
  29 0.57 1126.56 0.901246
  30 0.59 1095.27 0.876218
  31 0.61 1053.11 0.842491
  32 0.63 1005.17 0.804134
  33 0.65 973.193 0.778554
  34 0.67 937.721 0.750177
  35 0.69 919.39 0.735512
  36 0.71 843.249 0.674599
  37 0.73 648.601 0.518881
  38 0.75 421.451 0.33716
  39 0.77 234.097 0.187278
  40 0.79 107.385 0.0859083
  41 0.81 37.6689 0.0301351
  42 0.83 10.3278 0.0082622
  43 0.85 2.12214 0.00169771
  44 0.87 0.244041 0.000195233
  45 0.89 0.005 4e-06
  46 0.91 2.04082e-05 1.63265e-08
  47 0.93 0 0
  48 0.95 0 0
  49 0.97 0 0
  50 0.99 0 0
99000000 50 25399.999999999996
  1 0.01 0 0
  2 0.03 0 0
  3 0.05 0 0
  4 0.07 0 0
  5 0.09 6.12245e-05 4.89796e-08
  6 0.11 0.00385714 3.08571e-06
  7 0.13 0.0740408 5.92327e-05
  8 0.15 0.787082 0.000629665
  9 0.17 6.06708 0.00485367
  10 0.19 26.8478 0.0214782
  11 0.21 77.104 0.0616832
  12 0.23 187.972 0.150378
  13 0.25 392.419 0.313936
  14 0.27 659.045 0.527236
  15 0.29 863.69 0.690952
  16 0.31 954.59 0.763672
  17 0.33 1013.75 0.811
  18 0.35 1074.82 0.859853
  19 0.37 1076.36 0.861087
  20 0.39 1037.23 0.829783
  21 0.41 1021.13 0.816902
  22 0.43 1060.76 0.848607
  23 0.45 1104.55 0.88364
  24 0.47 1114.52 0.891612
  25 0.49 1104.22 0.883374
  26 0.51 1099.95 0.879957
  27 0.53 1136.51 0.909209
  28 0.55 1157.83 0.926266
  29 0.57 1142.25 0.913797
  30 0.59 1077.87 0.862295
  31 0.61 1031.69 0.825355
  32 0.63 1002.44 0.801948
  33 0.65 982.308 0.785846
  34 0.67 969.779 0.775823
  35 0.69 935.371 0.748297
  36 0.71 833.311 0.666649
  37 0.73 621.201 0.496961
  38 0.75 373.531 0.298825
  39 0.77 168.503 0.134802
  40 0.79 60.9679 0.0487744
  41 0.81 20.556 0.0164448
  42 0.83 6.42349 0.00513879
  43 0.85 2.19861 0.00175889
  44 0.87 0.948857 0.000759086
  45 0.89 0.320327 0.000256261
  46 0.91 0.104735 8.37878e-05
  47 0.93 0.0205714 1.64571e-05
  48 0.95 0.000959184 7.67347e-07
  49 0.97 0 0
  50 0.99 0 0
148500000 50 25399.999999999993
  1 0.01 0 0
  2 0.03 0 0
  3 0.05 0.000204082 1.63265e-07
  4 0.07 0.00985714 7.88571e-06
  5 0.09 0.0529592 4.23673e-05
  6 0.11 0.408184 0.000326547
  7 0.13 2.0621 0.00164968
  8 0.15 6.49922 0.00519938
  9 0.17 18.1022 0.0144818
  10 0.19 50.1384 0.0401107
  11 0.21 123.044 0.0984355
  12 0.23 253.634 0.202908
  13 0.25 446.218 0.356974
  14 0.27 677.999 0.542399
  15 0.29 859.929 0.687943
  16 0.31 928.804 0.743043
  17 0.33 959.157 0.767326
  18 0.35 1009.74 0.807791
  19 0.37 1023.04 0.818435
  20 0.39 1016.28 0.813022
  21 0.41 1024.73 0.819781
  22 0.43 1040.11 0.832091
  23 0.45 1038.78 0.831025
  24 0.47 1060.69 0.848554
  25 0.49 1104.75 0.883804
  26 0.51 1129.61 0.903687
  27 0.53 1118.64 0.89491
  28 0.55 1089.01 0.871205
  29 0.57 1081.76 0.865404
  30 0.59 1117.46 0.893964
  31 0.61 1128.44 0.90275
  32 0.63 1104.96 0.883969
  33 0.65 1050.81 0.840646
  34 0.67 999.613 0.79969
  35 0.69 913.712 0.73097
  36 0.71 774.817 0.619853
  37 0.73 593.339 0.474671
  38 0.75 375.206 0.300165
  39 0.77 183.966 0.147173
  40 0.79 69.084 0.0552672
  41 0.81 19.9025 0.015922
  42 0.83 4.29912 0.0034393
  43 0.85 0.95051 0.000760408
  44 0.87 0.21151 0.000169208
  45 0.89 0.0421429 3.37143e-05
  46 0.91 0.000795918 6.36735e-07
  47 0.93 0 0
  48 0.95 0 0
  49 0.97 0 0
  50 0.99 0 0
