# Chunk-averaged data for fix densityRegions3 and group polymer
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
49500000 50 25399.999999999996
  1 0.01 0 0
  2 0.03 0 0
  3 0.05 0 0
  4 0.07 8.16327e-05 6.53061e-08
  5 0.09 0.00816327 6.53061e-06
  6 0.11 0.0344286 2.75429e-05
  7 0.13 0.196143 0.000156914
  8 0.15 1.18692 0.000949535
  9 0.17 6.97155 0.00557724
  10 0.19 32.8998 0.0263198
  11 0.21 117.898 0.0943187
  12 0.23 318.003 0.254402
  13 0.25 608.859 0.487087
  14 0.27 862.601 0.690081
  15 0.29 977.857 0.782285
  16 0.31 959.291 0.767433
  17 0.33 924.784 0.739827
  18 0.35 938.817 0.751054
  19 0.37 977.024 0.781619
  20 0.39 962.191 0.769752
  21 0.41 936.991 0.749593
  22 0.43 938.13 0.750504
  23 0.45 949.547 0.759637
  24 0.47 958.462 0.76677
  25 0.49 979.647 0.783717
  26 0.51 986.405 0.789124
  27 0.53 972.707 0.778166
  28 0.55 979.575 0.78366
  29 0.57 1029.08 0.823264
  30 0.59 1066.04 0.852832
  31 0.61 1055.96 0.844766
  32 0.63 1026.1 0.820881
  33 0.65 1038.18 0.830547
  34 0.67 1054.89 0.843914
  35 0.69 1019.02 0.815219
  36 0.71 926.83 0.741464
  37 0.73 767.41 0.613928
  38 0.75 542.96 0.434368
  39 0.77 301.593 0.241275
  40 0.79 125.421 0.100337
  41 0.81 41.6044 0.0332836
  42 0.83 11.5616 0.00924926
  43 0.85 2.58835 0.00207068
  44 0.87 0.543082 0.000434465
  45 0.89 0.108714 8.69714e-05
  46 0.91 0.0133673 1.06939e-05
  47 0.93 0.000653061 5.22449e-07
  48 0.95 0 0
  49 0.97 0 0
  50 0.99 0 0
99000000 50 25400.000000000007
  1 0.01 0 0
  2 0.03 0 0
  3 0.05 0 0
  4 0.07 0 0
  5 0.09 0.000102041 8.16327e-08
  6 0.11 0.0137347 1.09878e-05
  7 0.13 0.257082 0.000205665
  8 0.15 1.33902 0.00107122
  9 0.17 5.44778 0.00435822
  10 0.19 24.5632 0.0196506
  11 0.21 88.7429 0.0709943
  12 0.23 238.67 0.190936
  13 0.25 467.964 0.374372
  14 0.27 710.071 0.568057
  15 0.29 864.162 0.69133
  16 0.31 935.894 0.748715
  17 0.33 1010.37 0.808295
  18 0.35 1054.04 0.843229
  19 0.37 1054.21 0.843365
  20 0.39 1042.48 0.833984
  21 0.41 1033.55 0.826842
  22 0.43 1052.11 0.841689
  23 0.45 1071.03 0.856823
  24 0.47 1045 0.836
  25 0.49 1049.4 0.839521
  26 0.51 1081.25 0.864998
  27 0.53 1063.18 0.850546
  28 0.55 1003.13 0.802505
  29 0.57 986.141 0.788913
  30 0.59 1011.86 0.809488
  31 0.61 1021.49 0.817191
  32 0.63 1016.25 0.812997
  33 0.65 957.954 0.766363
  34 0.67 886.897 0.709518
  35 0.69 860.045 0.688036
  36 0.71 796.086 0.636869
  37 0.73 686.846 0.549477
  38 0.75 546.386 0.437109
  39 0.77 375.726 0.300581
  40 0.79 210.568 0.168454
  41 0.81 97.1457 0.0777166
  42 0.83 35.6601 0.0285281
  43 0.85 10.4843 0.00838746
  44 0.87 2.80796 0.00224637
  45 0.89 0.626367 0.000501094
  46 0.91 0.141571 0.000113257
  47 0.93 0.0202041 1.61633e-05
  48 0.95 0.000755102 6.04082e-07
  49 0.97 0 0
  50 0.99 0 0
148500000 50 25399.999999999996
  1 0.01 0 0
  2 0.03 0 0
  3 0.05 0.000163265 1.30612e-07
  4 0.07 0.0101429 8.11429e-06
  5 0.09 0.0409796 3.27837e-05
  6 0.11 0.198204 0.000158563
  7 0.13 0.551531 0.000441224
  8 0.15 1.98478 0.00158782
  9 0.17 7.80533 0.00624426
  10 0.19 26.8186 0.0214549
  11 0.21 79.9942 0.0639953
  12 0.23 207.199 0.165759
  13 0.25 433.072 0.346457
  14 0.27 706.689 0.565351
  15 0.29 914.787 0.73183
  16 0.31 1007.88 0.806303
  17 0.33 1036.58 0.829261
  18 0.35 1043.78 0.835022
  19 0.37 1040.91 0.83273
  20 0.39 1043.19 0.834551
  21 0.41 1049.73 0.839782
  22 0.43 1040.92 0.832738
  23 0.45 1037.69 0.830155
  24 0.47 1027.19 0.821753
  25 0.49 1005 0.803996
  26 0.51 980.933 0.784746
  27 0.53 981.853 0.785483
  28 0.55 1000.33 0.800265
  29 0.57 1022.35 0.817878
  30 0.59 1025.66 0.820527
  31 0.61 1052.51 0.842005
  32 0.63 1070.76 0.856609
  33 0.65 1050.54 0.84043
  34 0.67 1030.38 0.824302
  35 0.69 972.961 0.778369
  36 0.71 853.549 0.682839
  37 0.73 672.391 0.537913
  38 0.75 468.619 0.374896
  39 0.77 285.609 0.228488
  40 0.79 142.315 0.113852
  41 0.81 54.802 0.0438416
  42 0.83 16.6588 0.0133271
  43 0.85 4.49467 0.00359574
  44 0.87 1.10812 0.000886498
  45 0.89 0.156245 0.000124996
  46 0.91 0.0132041 1.05633e-05
  47 0.93 0.000326531 2.61224e-07
  48 0.95 0 0
  49 0.97 0 0
  50 0.99 0 0
