# Chunk-averaged data for fix densityRegions2 and group client_coms
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
66500000 50 50.00000000000001
  1 0.01 1.33267 0.00106613
  2 0.03 1.33622 0.00106898
  3 0.05 1.36211 0.00108969
  4 0.07 1.36389 0.00109111
  5 0.09 1.40211 0.00112169
  6 0.11 1.36456 0.00109164
  7 0.13 1.35578 0.00108462
  8 0.15 1.339 0.0010712
  9 0.17 1.38722 0.00110978
  10 0.19 1.39744 0.00111796
  11 0.21 1.29644 0.00103716
  12 0.23 1.06122 0.000848978
  13 0.25 0.787222 0.000629778
  14 0.27 0.727889 0.000582311
  15 0.29 0.798333 0.000638667
  16 0.31 0.951222 0.000760978
  17 0.33 0.921556 0.000737244
  18 0.35 0.696111 0.000556889
  19 0.37 0.562778 0.000450222
  20 0.39 0.501333 0.000401067
  21 0.41 0.498 0.0003984
  22 0.43 0.491 0.0003928
  23 0.45 0.497333 0.000397867
  24 0.47 0.502 0.0004016
  25 0.49 0.579 0.0004632
  26 0.51 0.763889 0.000611111
  27 0.53 0.776 0.0006208
  28 0.55 0.694111 0.000555289
  29 0.57 0.771222 0.000616978
  30 0.59 0.82 0.000656
  31 0.61 0.842 0.0006736
  32 0.63 0.884556 0.000707644
  33 0.65 0.801667 0.000641333
  34 0.67 0.741333 0.000593067
  35 0.69 0.867333 0.000693867
  36 0.71 0.819222 0.000655378
  37 0.73 0.678667 0.000542933
  38 0.75 0.671111 0.000536889
  39 0.77 0.973556 0.000778844
  40 0.79 1.24267 0.000994133
  41 0.81 1.37578 0.00110062
  42 0.83 1.35167 0.00108133
  43 0.85 1.32044 0.00105636
  44 0.87 1.32067 0.00105653
  45 0.89 1.307 0.0010456
  46 0.91 1.24067 0.000992533
  47 0.93 1.267 0.0010136
  48 0.95 1.30267 0.00104213
  49 0.97 1.31611 0.00105289
  50 0.99 1.33822 0.00107058
76000000 50 49.99999999999999
  1 0.01 1.34556 0.00107644
  2 0.03 1.34167 0.00107333
  3 0.05 1.34489 0.00107591
  4 0.07 1.36033 0.00108827
  5 0.09 1.35911 0.00108729
  6 0.11 1.356 0.0010848
  7 0.13 1.36289 0.00109031
