# Chunk-averaged data for fix densityRegions3 and group polymer
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
49500000 50 25400.000000000007
  1 0.01 8.75312 0.0070025
  2 0.03 7.57886 0.00606309
  3 0.05 5.58292 0.00446633
  4 0.07 4.23165 0.00338532
  5 0.09 3.31298 0.00265038
  6 0.11 4.24935 0.00339948
  7 0.13 9.01049 0.00720839
  8 0.15 20.3977 0.0163182
  9 0.17 41.6866 0.0333493
  10 0.19 84.1802 0.0673442
  11 0.21 182.408 0.145927
  12 0.23 364.615 0.291692
  13 0.25 603.809 0.483047
  14 0.27 829.475 0.66358
  15 0.29 968.687 0.77495
  16 0.31 1009.78 0.807823
  17 0.33 1041.47 0.833178
  18 0.35 1103.13 0.882503
  19 0.37 1111.29 0.889036
  20 0.39 1119.68 0.895746
  21 0.41 1121.39 0.897114
  22 0.43 1105.12 0.884094
  23 0.45 1114.21 0.891368
  24 0.47 1107.9 0.88632
  25 0.49 1072.89 0.858313
  26 0.51 1059.17 0.847337
  27 0.53 1052.61 0.842089
  28 0.55 1019.73 0.815784
  29 0.57 968.259 0.774607
  30 0.59 964.07 0.771256
  31 0.61 996.613 0.79729
  32 0.63 1026.76 0.821411
  33 0.65 978.693 0.782955
  34 0.67 887.738 0.71019
  35 0.69 779.001 0.623201
  36 0.71 642.881 0.514305
  37 0.73 455.288 0.364231
  38 0.75 259.373 0.207499
  39 0.77 116.517 0.093214
  40 0.79 42.5861 0.0340689
  41 0.81 16.6426 0.0133141
  42 0.83 8.18957 0.00655166
  43 0.85 5.25957 0.00420766
  44 0.87 6.83706 0.00546965
  45 0.89 10.7027 0.00856217
  46 0.91 13.5397 0.0108317
  47 0.93 13.9641 0.0111712
  48 0.95 12.0862 0.00966896
  49 0.97 9.68284 0.00774627
  50 0.99 8.95584 0.00716467
99000000 50 25399.999999999993
  1 0.01 0 0
  2 0.03 0 0
  3 0.05 0.000632653 5.06122e-07
  4 0.07 0.0259388 2.0751e-05
  5 0.09 0.377143 0.000301714
  6 0.11 2.19447 0.00175558
  7 0.13 7.0982 0.00567856
  8 0.15 19.9276 0.0159421
  9 0.17 49.5271 0.0396217
  10 0.19 113.127 0.0905016
  11 0.21 225.231 0.180185
  12 0.23 394.106 0.315285
  13 0.25 616.094 0.492875
  14 0.27 861.49 0.689192
  15 0.29 1040.32 0.832253
  16 0.31 1089.16 0.871325
  17 0.33 1072.57 0.85806
  18 0.35 1105.56 0.884448
  19 0.37 1120.96 0.89677
  20 0.39 1097.87 0.878295
  21 0.41 1045.62 0.836495
  22 0.43 1040.57 0.832453
  23 0.45 1073.65 0.858922
  24 0.47 1058.83 0.847061
  25 0.49 1076.22 0.860976
  26 0.51 1088.61 0.870889
  27 0.53 1099.42 0.879535
  28 0.55 1084.43 0.86754
  29 0.57 1044.79 0.835836
  30 0.59 1009.54 0.807636
  31 0.61 997.428 0.797942
  32 0.63 1039.3 0.831436
  33 0.65 1054.25 0.843399
  34 0.67 1019.93 0.815946
  35 0.69 866.958 0.693566
  36 0.71 582.784 0.466227
  37 0.73 279.662 0.223729
  38 0.75 91.6096 0.0732877
  39 0.77 23.5363 0.018829
  40 0.79 5.47702 0.00438162
  41 0.81 1.31039 0.00104831
  42 0.83 0.33649 0.000269192
  43 0.85 0.0849592 6.79673e-05
  44 0.87 0.0177143 1.41714e-05
  45 0.89 0.00163265 1.30612e-06
  46 0.91 4.08163e-05 3.26531e-08
  47 0.93 0 0
  48 0.95 0 0
  49 0.97 0 0
  50 0.99 0 0
148500000 50 25400.000000000007
  1 0.01 11.4198 0.0091358
  2 0.03 6.74282 0.00539425
  3 0.05 4.21861 0.00337489
  4 0.07 2.98561 0.00238849
  5 0.09 2.8798 0.00230384
  6 0.11 3.62257 0.00289806
  7 0.13 5.79827 0.00463861
  8 0.15 12.0837 0.00966699
  9 0.17 30.6918 0.0245534
  10 0.19 74.1693 0.0593355
  11 0.21 149.97 0.119976
  12 0.23 273.769 0.219015
  13 0.25 477.525 0.38202
  14 0.27 744.763 0.59581
  15 0.29 953.17 0.762536
  16 0.31 1050.06 0.840047
  17 0.33 1062.72 0.85018
  18 0.35 1065.37 0.852296
  19 0.37 1072.75 0.858199
  20 0.39 1058.63 0.846901
  21 0.41 1047.86 0.838292
  22 0.43 1060.12 0.848096
  23 0.45 1074.15 0.859322
  24 0.47 1121.02 0.896819
  25 0.49 1130.06 0.904048
  26 0.51 1068.96 0.85517
  27 0.53 1052.15 0.841723
  28 0.55 1053.71 0.842969
  29 0.57 1083.44 0.866751
  30 0.59 1089.64 0.871711
  31 0.61 1077.53 0.862025
  32 0.63 1049.52 0.839614
  33 0.65 1009.89 0.807916
  34 0.67 989.159 0.791327
  35 0.69 879.135 0.703308
  36 0.71 637.957 0.510366
  37 0.73 365.163 0.29213
  38 0.75 165.752 0.132602
  39 0.77 78.0191 0.0624153
  40 0.79 48.5211 0.0388169
  41 0.81 36.33 0.029064
  42 0.83 28.5589 0.0228472
  43 0.85 22.5437 0.018035
  44 0.87 19.1071 0.0152857
  45 0.89 20.9577 0.0167662
  46 0.91 26.2566 0.0210053
  47 0.93 30.3448 0.0242758
  48 0.95 28.9783 0.0231827
  49 0.97 23.9724 0.0191779
  50 0.99 17.837 0.0142696
198000000 50 25400.000000000004
  1 0.01 14.2383 0.0113906
  2 0.03 14.7091 0.0117672
  3 0.05 14.0185 0.0112148
  4 0.07 11.1099 0.00888789
  5 0.09 7.80039 0.00624031
  6 0.11 4.45253 0.00356202
  7 0.13 2.35512 0.0018841
  8 0.15 3.67365 0.00293892
  9 0.17 12.2959 0.00983673
  10 0.19 39.6184 0.0316947
  11 0.21 115.218 0.0921744
  12 0.23 288.289 0.230631
  13 0.25 561.172 0.448938
  14 0.27 841.175 0.67294
  15 0.29 1000.92 0.800734
  16 0.31 1060.46 0.848368
  17 0.33 1095.86 0.876684
  18 0.35 1096.32 0.877056
  19 0.37 1046.31 0.837051
  20 0.39 1011.6 0.809283
  21 0.41 1017.6 0.814084
  22 0.43 1057.43 0.845941
  23 0.45 1082.37 0.865894
  24 0.47 1096.89 0.877513
  25 0.49 1080.6 0.86448
  26 0.51 998.317 0.798654
  27 0.53 926.299 0.741039
  28 0.55 963.815 0.771052
  29 0.57 1030.68 0.82454
  30 0.59 1054.54 0.843636
  31 0.61 1041.08 0.832865
  32 0.63 1025.57 0.820459
  33 0.65 1005.6 0.804481
  34 0.67 952.59 0.762072
  35 0.69 867.924 0.694339
  36 0.71 708.801 0.567041
  37 0.73 476.976 0.381581
  38 0.75 263.269 0.210615
  39 0.77 128.116 0.102493
  40 0.79 62.0549 0.0496439
  41 0.81 38.3927 0.0307142
  42 0.83 32.9272 0.0263418
  43 0.85 33.5135 0.0268108
  44 0.87 36.0616 0.0288493
  45 0.89 39.2666 0.0314132
  46 0.91 40.0712 0.0320569
  47 0.93 35.5069 0.0284055
  48 0.95 27.3115 0.0218492
  49 0.97 19.5687 0.0156549
  50 0.99 15.2573 0.0122058
247500000 50 25400
  1 0.01 0 0
  2 0.03 0 0
  3 0.05 0 0
  4 0.07 0.000163265 1.30612e-07
  5 0.09 0.00965306 7.72245e-06
  6 0.11 0.175592 0.000140473
  7 0.13 0.946531 0.000757224
  8 0.15 3.32327 0.00265861
  9 0.17 10.4875 0.00838999
  10 0.19 28.6479 0.0229183
  11 0.21 71.3535 0.0570828
  12 0.23 178.309 0.142647
  13 0.25 405.369 0.324295
  14 0.27 698.368 0.558695
  15 0.29 945.963 0.75677
  16 0.31 1109.28 0.887426
  17 0.33 1173.01 0.938409
  18 0.35 1182.42 0.945938
  19 0.37 1153.03 0.922425
  20 0.39 1122.1 0.897679
  21 0.41 1088.68 0.870946
  22 0.43 1055.04 0.844028
  23 0.45 1023.28 0.818626
  24 0.47 1004.37 0.803499
  25 0.49 985.743 0.788595
  26 0.51 985.242 0.788194
  27 0.53 1012.26 0.80981
  28 0.55 1041.55 0.833244
