# Chunk-averaged data for fix densityRegions2 and group client_coms
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
49500000 50 49.99999999999999
  1 0.01 0.094898 7.59184e-05
  2 0.03 0.0908163 7.26531e-05
  3 0.05 0.0902857 7.22286e-05
  4 0.07 0.0884694 7.07755e-05
  5 0.09 0.0892653 7.14122e-05
  6 0.11 0.0890612 7.1249e-05
  7 0.13 0.0860612 6.8849e-05
  8 0.15 0.0839388 6.7151e-05
  9 0.17 0.107184 8.57469e-05
  10 0.19 0.182776 0.00014622
  11 0.21 0.370265 0.000296212
  12 0.23 0.723367 0.000578694
  13 0.25 1.04727 0.000837812
  14 0.27 1.24082 0.000992653
  15 0.29 1.4189 0.00113512
  16 0.31 1.65208 0.00132167
  17 0.33 1.78424 0.0014274
  18 0.35 1.83253 0.00146602
  19 0.37 1.75747 0.00140598
  20 0.39 1.56798 0.00125438
  21 0.41 1.598 0.0012784
  22 0.43 1.73753 0.00139002
  23 0.45 1.97388 0.0015791
  24 0.47 2.21029 0.00176823
  25 0.49 1.98196 0.00158557
  26 0.51 1.65976 0.0013278
  27 0.53 1.54473 0.00123579
  28 0.55 1.49055 0.00119244
  29 0.57 1.75437 0.00140349
  30 0.59 1.97051 0.00157641
  31 0.61 2.18957 0.00175166
  32 0.63 2.37245 0.00189796
  33 0.65 2.39661 0.00191729
  34 0.67 1.98702 0.00158962
  35 0.69 1.83767 0.00147014
  36 0.71 1.64735 0.00131788
  37 0.73 1.5341 0.00122728
  38 0.75 1.29908 0.00103927
  39 0.77 0.823408 0.000658727
  40 0.79 0.436551 0.000349241
  41 0.81 0.215245 0.000172196
  42 0.83 0.131347 0.000105078
  43 0.85 0.111061 8.8849e-05
  44 0.87 0.101082 8.08653e-05
  45 0.89 0.0993469 7.94776e-05
  46 0.91 0.104592 8.36735e-05
  47 0.93 0.103388 8.27102e-05
  48 0.95 0.0980612 7.8449e-05
  49 0.97 0.0980408 7.84327e-05
  50 0.99 0.0947755 7.58204e-05
99000000 50 49.99999999999999
  1 0.01 0.129163 0.000103331
  2 0.03 0.128061 0.000102449
  3 0.05 0.129939 0.000103951
  4 0.07 0.127714 0.000102171
  5 0.09 0.120429 9.63429e-05
  6 0.11 0.115469 9.23755e-05
  7 0.13 0.117 9.36e-05
  8 0.15 0.115347 9.22776e-05
  9 0.17 0.124612 9.96898e-05
  10 0.19 0.150449 0.000120359
  11 0.21 0.275857 0.000220686
  12 0.23 0.598837 0.000479069
  13 0.25 1.1592 0.000927363
  14 0.27 1.79004 0.00143203
  15 0.29 2.03188 0.0016255
  16 0.31 1.90702 0.00152562
  17 0.33 1.71357 0.00137086
  18 0.35 1.61016 0.00128813
  19 0.37 1.62229 0.00129783
  20 0.39 1.5469 0.00123752
  21 0.41 1.74627 0.00139701
  22 0.43 2.08043 0.00166434
  23 0.45 2.29249 0.00183399
  24 0.47 2.4682 0.00197456
  25 0.49 2.08055 0.00166444
  26 0.51 1.6842 0.00134736
  27 0.53 1.58033 0.00126426
  28 0.55 1.51298 0.00121038
  29 0.57 1.51143 0.00120914
  30 0.59 1.82027 0.00145621
  31 0.61 1.91406 0.00153125
  32 0.63 2.00741 0.00160593
  33 0.65 1.9589 0.00156712
  34 0.67 1.73651 0.00138921
  35 0.69 1.61027 0.00128821
  36 0.71 1.63637 0.00130909
  37 0.73 1.33204 0.00106563
  38 0.75 1.02667 0.000821339
  39 0.77 0.64098 0.000512784
  40 0.79 0.392755 0.000314204
  41 0.81 0.245776 0.00019662
  42 0.83 0.172265 0.000137812
  43 0.85 0.143102 0.000114482
  44 0.87 0.128571 0.000102857
  45 0.89 0.125429 0.000100343
  46 0.91 0.125367 0.000100294
  47 0.93 0.126571 0.000101257
  48 0.95 0.124551 9.96408e-05
  49 0.97 0.128837 0.000103069
  50 0.99 0.13249 0.000105992
148500000 50 50.00000000000002
  1 0.01 0.100143 8.01143e-05
  2 0.03 0.0987347 7.89878e-05
  3 0.05 0.102082 8.16653e-05
  4 0.07 0.102469 8.19755e-05
  5 0.09 0.101122 8.0898e-05
  6 0.11 0.102143 8.17143e-05
  7 0.13 0.102265 8.18122e-05
  8 0.15 0.106939 8.5551e-05
  9 0.17 0.11698 9.35837e-05
  10 0.19 0.152592 0.000122073
  11 0.21 0.237041 0.000189633
  12 0.23 0.431408 0.000345127
  13 0.25 0.818347 0.000654678
  14 0.27 1.30653 0.00104522
  15 0.29 1.66337 0.00133069
  16 0.31 1.82173 0.00145739
  17 0.33 1.89261 0.00151409
  18 0.35 2.09092 0.00167273
  19 0.37 2.14282 0.00171425
  20 0.39 1.96373 0.00157099
  21 0.41 1.73273 0.00138619
  22 0.43 1.72371 0.00137897
  23 0.45 2.01055 0.00160844
  24 0.47 2.228 0.0017824
  25 0.49 1.82518 0.00146015
  26 0.51 1.52371 0.00121897
  27 0.53 1.50416 0.00120333
  28 0.55 1.51743 0.00121394
  29 0.57 1.93551 0.00154841
  30 0.59 2.16588 0.0017327
  31 0.61 2.29439 0.00183551
  32 0.63 2.04224 0.0016338
  33 0.65 1.88027 0.00150421
  34 0.67 1.78537 0.00142829
  35 0.69 1.63653 0.00130922
  36 0.71 1.58651 0.00126921
  37 0.73 1.49506 0.00119605
  38 0.75 1.21773 0.000974188
  39 0.77 0.737878 0.000590302
  40 0.79 0.423959 0.000339167
  41 0.81 0.251429 0.000201143
  42 0.83 0.164837 0.000131869
  43 0.85 0.126143 0.000100914
  44 0.87 0.113 9.04e-05
  45 0.89 0.105592 8.44735e-05
  46 0.91 0.102102 8.16816e-05
  47 0.93 0.106388 8.51102e-05
  48 0.95 0.106429 8.51429e-05
  49 0.97 0.102796 8.22367e-05
  50 0.99 0.10049 8.03918e-05
