# Chunk-averaged data for fix densityRegions2 and group client_coms
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
49500000 50 50
  1 0.01 0.000428571 3.42857e-07
  2 0.03 0.000571429 4.57143e-07
  3 0.05 0.000693878 5.55102e-07
  4 0.07 0.000877551 7.02041e-07
  5 0.09 0.000795918 6.36735e-07
  6 0.11 0.000591837 4.73469e-07
  7 0.13 0.000469388 3.7551e-07
  8 0.15 0.000816327 6.53061e-07
  9 0.17 0.000693878 5.55102e-07
  10 0.19 0.00179592 1.43673e-06
  11 0.21 0.0167143 1.33714e-05
  12 0.23 0.0931224 7.4498e-05
  13 0.25 0.34051 0.000272408
  14 0.27 0.889612 0.00071169
  15 0.29 1.50231 0.00120184
  16 0.31 1.96957 0.00157566
  17 0.33 2.41716 0.00193373
  18 0.35 2.6912 0.00215296
  19 0.37 2.50978 0.00200782
  20 0.39 2.39169 0.00191336
  21 0.41 2.27496 0.00181997
  22 0.43 2.19698 0.00175758
  23 0.45 1.86318 0.00149055
  24 0.47 1.80271 0.00144217
  25 0.49 2.06373 0.00165099
  26 0.51 2.23129 0.00178503
  27 0.53 2.05251 0.00164201
  28 0.55 1.87751 0.00150201
  29 0.57 2.07641 0.00166113
  30 0.59 2.31255 0.00185004
  31 0.61 2.71537 0.00217229
  32 0.63 2.92653 0.00234122
  33 0.65 2.59135 0.00207308
  34 0.67 1.93137 0.00154509
  35 0.69 1.72388 0.0013791
  36 0.71 1.55592 0.00124473
  37 0.73 0.77951 0.000623608
  38 0.75 0.167776 0.00013422
  39 0.77 0.0202041 1.61633e-05
  40 0.79 0.00185714 1.48571e-06
  41 0.81 0.000469388 3.7551e-07
  42 0.83 0.000510204 4.08163e-07
  43 0.85 0.000163265 1.30612e-07
  44 0.87 0.000244898 1.95918e-07
  45 0.89 0.000387755 3.10204e-07
  46 0.91 0.00055102 4.40816e-07
  47 0.93 0.000714286 5.71429e-07
  48 0.95 0.000612245 4.89796e-07
  49 0.97 0.000857143 6.85714e-07
  50 0.99 0.000489796 3.91837e-07
99000000 50 50
  1 0.01 0 0
  2 0.03 0.000102041 8.16327e-08
  3 0.05 6.12245e-05 4.89796e-08
  4 0.07 4.08163e-05 3.26531e-08
  5 0.09 2.04082e-05 1.63265e-08
  6 0.11 4.08163e-05 3.26531e-08
  7 0.13 0.000102041 8.16327e-08
  8 0.15 0.000714286 5.71429e-07
  9 0.17 0.00691837 5.53469e-06
  10 0.19 0.0199388 1.5951e-05
  11 0.21 0.0625306 5.00245e-05
  12 0.23 0.173714 0.000138971
  13 0.25 0.406571 0.000325257
  14 0.27 0.908592 0.000726873
  15 0.29 1.42257 0.00113806
  16 0.31 1.90792 0.00152633
  17 0.33 2.22976 0.0017838
  18 0.35 2.35759 0.00188607
  19 0.37 2.77733 0.00222186
  20 0.39 2.52859 0.00202287
  21 0.41 2.71029 0.00216823
  22 0.43 2.53367 0.00202694
  23 0.45 2.37653 0.00190122
  24 0.47 1.83604 0.00146883
  25 0.49 1.77586 0.00142069
  26 0.51 2.17443 0.00173954
  27 0.53 2.37886 0.00190309
  28 0.55 2.36927 0.00189541
  29 0.57 2.5301 0.00202408
  30 0.59 2.65369 0.00212296
  31 0.61 2.1728 0.00173824
  32 0.63 2.25018 0.00180015
  33 0.65 2.27494 0.00181995
  34 0.67 1.7629 0.00141032
  35 0.69 1.54045 0.00123236
  36 0.71 1.05045 0.000840359
  37 0.73 0.495429 0.000396343
  38 0.75 0.197327 0.000157861
  39 0.77 0.0707551 5.66041e-05
  40 0.79 0.0320612 2.5649e-05
  41 0.81 0.00808163 6.46531e-06
  42 0.83 0.00112245 8.97959e-07
  43 0.85 0.000734694 5.87755e-07
  44 0.87 0.000469388 3.7551e-07
  45 0.89 0.000204082 1.63265e-07
  46 0.91 8.16327e-05 6.53061e-08
  47 0.93 8.16327e-05 6.53061e-08
  48 0.95 6.12245e-05 4.89796e-08
  49 0.97 2.04082e-05 1.63265e-08
  50 0.99 2.04082e-05 1.63265e-08
148500000 50 50.00000000000001
  1 0.01 0.000795918 6.36735e-07
  2 0.03 0.000653061 5.22449e-07
  3 0.05 0.00122449 9.79592e-07
  4 0.07 0.0012449 9.95918e-07
  5 0.09 0.0015102 1.20816e-06
  6 0.11 0.00206122 1.64898e-06
  7 0.13 0.00163265 1.30612e-06
  8 0.15 0.001 8e-07
  9 0.17 0.00130612 1.0449e-06
  10 0.19 0.00193878 1.55102e-06
  11 0.21 0.012102 9.68163e-06
  12 0.23 0.0807143 6.45714e-05
  13 0.25 0.341694 0.000273355
  14 0.27 0.724776 0.00057982
  15 0.29 1.07318 0.000858547
  16 0.31 1.3581 0.00108648
  17 0.33 1.8258 0.00146064
  18 0.35 2.27978 0.00182382
  19 0.37 3.06024 0.0024482
  20 0.39 3.28757 0.00263006
  21 0.41 2.97969 0.00238376
  22 0.43 2.67969 0.00214376
  23 0.45 2.48261 0.00198609
  24 0.47 2.58833 0.00207066
  25 0.49 2.50978 0.00200782
  26 0.51 2.34216 0.00187373
  27 0.53 2.26867 0.00181494
  28 0.55 2.31337 0.00185069
  29 0.57 2.23367 0.00178694
  30 0.59 2.15524 0.0017242
  31 0.61 2.15112 0.0017209
  32 0.63 2.12865 0.00170292
  33 0.65 1.98363 0.00158691
  34 0.67 1.75951 0.00140761
  35 0.69 1.61343 0.00129074
  36 0.71 1.1241 0.000899282
  37 0.73 0.464776 0.00037182
  38 0.75 0.12102 9.68163e-05
  39 0.77 0.0192653 1.54122e-05
  40 0.79 0.00408163 3.26531e-06
  41 0.81 0.00212245 1.69796e-06
  42 0.83 0.00171429 1.37143e-06
  43 0.85 0.00234694 1.87755e-06
  44 0.87 0.00281633 2.25306e-06
  45 0.89 0.00246939 1.97551e-06
  46 0.91 0.00261224 2.0898e-06
  47 0.93 0.00230612 1.8449e-06
  48 0.95 0.00132653 1.06122e-06
  49 0.97 0.0012449 9.95918e-07
  50 0.99 0.000897959 7.18367e-07
