# Chunk-averaged data for fix densityRegions2 and group client_coms
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
49500000 50 50
  1 0.01 1.71631 0.00137304
  2 0.03 1.71559 0.00137247
  3 0.05 1.72855 0.00138284
  4 0.07 1.72914 0.00138331
  5 0.09 1.71912 0.0013753
  6 0.11 1.72988 0.0013839
  7 0.13 1.72622 0.00138098
  8 0.15 1.72694 0.00138155
  9 0.17 1.70737 0.00136589
  10 0.19 1.64031 0.00131224
  11 0.21 1.47329 0.00117863
  12 0.23 1.2218 0.000977437
  13 0.25 0.887816 0.000710253
  14 0.27 0.591143 0.000472914
  15 0.29 0.42802 0.000342416
  16 0.31 0.365184 0.000292147
  17 0.33 0.361449 0.000289159
  18 0.35 0.359857 0.000287886
  19 0.37 0.384367 0.000307494
  20 0.39 0.383286 0.000306629
  21 0.41 0.389204 0.000311363
  22 0.43 0.38049 0.000304392
  23 0.45 0.324449 0.000259559
  24 0.47 0.257265 0.000205812
  25 0.49 0.221184 0.000176947
  26 0.51 0.262143 0.000209714
  27 0.53 0.282327 0.000225861
  28 0.55 0.257327 0.000205861
  29 0.57 0.229429 0.000183543
  30 0.59 0.20551 0.000164408
  31 0.61 0.198612 0.00015889
  32 0.63 0.216776 0.00017342
  33 0.65 0.252735 0.000202188
  34 0.67 0.317755 0.000254204
  35 0.69 0.406694 0.000325355
  36 0.71 0.53398 0.000427184
  37 0.73 0.738633 0.000590906
  38 0.75 1.01594 0.000812751
  39 0.77 1.32649 0.00106119
  40 0.79 1.51241 0.00120993
  41 0.81 1.60302 0.00128242
  42 0.83 1.68627 0.00134901
  43 0.85 1.7251 0.00138008
  44 0.87 1.72516 0.00138013
  45 0.89 1.71759 0.00137407
  46 0.91 1.72945 0.00138356
  47 0.93 1.73704 0.00138963
  48 0.95 1.71861 0.00137489
  49 0.97 1.72061 0.00137649
  50 0.99 1.71216 0.00136973
99000000 50 50
  1 0.01 1.78192 0.00142553
  2 0.03 1.77667 0.00142134
  3 0.05 1.76945 0.00141556
  4 0.07 1.76098 0.00140878
  5 0.09 1.74247 0.00139398
  6 0.11 1.75661 0.00140529
  7 0.13 1.74686 0.00139749
  8 0.15 1.73688 0.0013895
  9 0.17 1.72702 0.00138162
  10 0.19 1.64853 0.00131882
  11 0.21 1.4701 0.00117608
  12 0.23 1.19308 0.000954465
  13 0.25 0.870796 0.000696637
  14 0.27 0.631612 0.00050529
  15 0.29 0.498122 0.000398498
  16 0.31 0.424959 0.000339967
  17 0.33 0.348673 0.000278939
  18 0.35 0.285408 0.000228327
  19 0.37 0.286122 0.000228898
  20 0.39 0.303204 0.000242563
  21 0.41 0.30949 0.000247592
  22 0.43 0.30549 0.000244392
  23 0.45 0.306551 0.000245241
  24 0.47 0.254082 0.000203265
  25 0.49 0.20349 0.000162792
  26 0.51 0.189429 0.000151543
  27 0.53 0.188592 0.000150873
  28 0.55 0.227714 0.000182171
  29 0.57 0.252143 0.000201714
  30 0.59 0.239143 0.000191314
  31 0.61 0.225408 0.000180327
  32 0.63 0.229633 0.000183706
  33 0.65 0.252714 0.000202171
  34 0.67 0.257878 0.000206302
  35 0.69 0.28849 0.000230792
  36 0.71 0.425327 0.000340261
  37 0.73 0.671735 0.000537388
  38 0.75 1.00565 0.000804522
  39 0.77 1.36006 0.00108805
  40 0.79 1.61053 0.00128842
  41 0.81 1.69414 0.00135531
  42 0.83 1.71506 0.00137205
  43 0.85 1.72635 0.00138108
  44 0.87 1.7111 0.00136888
  45 0.89 1.71982 0.00137585
  46 0.91 1.77024 0.0014162
  47 0.93 1.76557 0.00141246
  48 0.95 1.78039 0.00142431
  49 0.97 1.77188 0.0014175
  50 0.99 1.78243 0.00142594
148500000 50 49.99999999999999
  1 0.01 1.70196 0.00136157
  2 0.03 1.70147 0.00136118
  3 0.05 1.69712 0.0013577
  4 0.07 1.70784 0.00136627
  5 0.09 1.70186 0.00136149
  6 0.11 1.69663 0.00135731
  7 0.13 1.69547 0.00135638
  8 0.15 1.7019 0.00136152
  9 0.17 1.69359 0.00135487
  10 0.19 1.67322 0.00133858
  11 0.21 1.63743 0.00130994
  12 0.23 1.49616 0.00119693
  13 0.25 1.23341 0.000986727
  14 0.27 0.860184 0.000688147
  15 0.29 0.528673 0.000422939
  16 0.31 0.314061 0.000251249
  17 0.33 0.205939 0.000164751
  18 0.35 0.167347 0.000133878
  19 0.37 0.167469 0.000133976
  20 0.39 0.198102 0.000158482
  21 0.41 0.253163 0.000202531
  22 0.43 0.294327 0.000235461
  23 0.45 0.296061 0.000236849
  24 0.47 0.237531 0.000190024
  25 0.49 0.178388 0.00014271
  26 0.51 0.163163 0.000130531
  27 0.53 0.186347 0.000149078
  28 0.55 0.210755 0.000168604
  29 0.57 0.202449 0.000161959
  30 0.59 0.181796 0.000145437
  31 0.61 0.194041 0.000155233
  32 0.63 0.227959 0.000182367
  33 0.65 0.240469 0.000192376
  34 0.67 0.230714 0.000184571
  35 0.69 0.303694 0.000242955
  36 0.71 0.514408 0.000411527
  37 0.73 0.860776 0.00068862
  38 0.75 1.23541 0.000988327
  39 0.77 1.48553 0.00118842
  40 0.79 1.62106 0.00129685
  41 0.81 1.66494 0.00133195
  42 0.83 1.69612 0.0013569
  43 0.85 1.71045 0.00136836
  44 0.87 1.71688 0.0013735
  45 0.89 1.73235 0.00138588
  46 0.91 1.71747 0.00137398
  47 0.93 1.72463 0.00137971
  48 0.95 1.70792 0.00136633
  49 0.97 1.71376 0.001371
  50 0.99 1.71761 0.00137409
