# Chunk-averaged data for fix densityRegions3 and group polymer
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
49500000 50 25400
  1 0.01 0 0
  2 0.03 0 0
  3 0.05 0 0
  4 0.07 0 0
  5 0.09 0 0
  6 0.11 8.16327e-05 6.53061e-08
  7 0.13 0.00310204 2.48163e-06
  8 0.15 0.0326735 2.61388e-05
  9 0.17 0.491571 0.000393257
  10 0.19 3.74159 0.00299327
  11 0.21 19.8602 0.0158881
  12 0.23 75.044 0.0600352
  13 0.25 209.451 0.167561
  14 0.27 420.259 0.336207
  15 0.29 664.748 0.531798
  16 0.31 874.65 0.69972
  17 0.33 1019.76 0.81581
  18 0.35 1116.57 0.893258
  19 0.37 1158.09 0.926474
  20 0.39 1165.15 0.932121
  21 0.41 1177.36 0.941892
  22 0.43 1191.28 0.953024
  23 0.45 1186.56 0.949249
  24 0.47 1177 0.941599
  25 0.49 1160.9 0.928721
  26 0.51 1151.12 0.9209
  27 0.53 1158.41 0.92673
  28 0.55 1163.67 0.930936
  29 0.57 1170.17 0.936139
  30 0.59 1168.7 0.934958
  31 0.61 1174.54 0.939632
  32 0.63 1177.18 0.941742
  33 0.65 1145.57 0.916454
  34 0.67 1084.87 0.867896
  35 0.69 949.462 0.759569
  36 0.71 706.718 0.565374
  37 0.73 426.925 0.34154
  38 0.75 197.272 0.157817
  39 0.77 71.4806 0.0571845
  40 0.79 22.6226 0.018098
  41 0.81 7.35839 0.00588671
  42 0.83 2.2302 0.00178416
  43 0.85 0.593612 0.00047489
  44 0.87 0.125102 0.000100082
  45 0.89 0.0156122 1.24898e-05
  46 0.91 0.000938776 7.5102e-07
  47 0.93 0 0
  48 0.95 0 0
  49 0.97 0 0
  50 0.99 0 0
99000000 50 25400
  1 0.01 0 0
  2 0.03 0 0
  3 0.05 0 0
  4 0.07 0 0
  5 0.09 0 0
  6 0.11 0.00104082 8.32653e-07
  7 0.13 0.0266122 2.12898e-05
  8 0.15 0.180367 0.000144294
  9 0.17 0.583184 0.000466547
  10 0.19 2.33398 0.00186718
  11 0.21 10.8759 0.00870075
  12 0.23 45.9621 0.0367697
  13 0.25 152.254 0.121803
  14 0.27 370.303 0.296243
  15 0.29 663.584 0.530867
  16 0.31 925.648 0.740519
  17 0.33 1084.12 0.867299
  18 0.35 1142.08 0.913666
  19 0.37 1157.26 0.925808
  20 0.39 1169.29 0.935435
  21 0.41 1167.94 0.934349
  22 0.43 1185.65 0.948523
  23 0.45 1221.53 0.977227
  24 0.47 1230.13 0.984105
  25 0.49 1196.68 0.957341
  26 0.51 1149.28 0.919426
  27 0.53 1137.58 0.91006
  28 0.55 1149.92 0.919938
  29 0.57 1148.36 0.918686
  30 0.59 1148.9 0.919117
  31 0.61 1122.47 0.897977
  32 0.63 1122.78 0.898228
  33 0.65 1139.41 0.911525
  34 0.67 1110.55 0.888438
  35 0.69 1018.9 0.815117
  36 0.71 781.212 0.62497
  37 0.73 426.014 0.340811
  38 0.75 158.095 0.126476
  39 0.77 44.6157 0.0356925
  40 0.79 11.0477 0.00883812
  41 0.81 2.92363 0.00233891
  42 0.83 1.10759 0.000886073
  43 0.85 0.328857 0.000263086
  44 0.87 0.0606735 4.85388e-05
  45 0.89 0.010551 8.44082e-06
  46 0.91 0.00193878 1.55102e-06
  47 0.93 2.04082e-05 1.63265e-08
  48 0.95 0 0
  49 0.97 0 0
  50 0.99 0 0
148500000 50 25400.000000000004
  1 0.01 0 0
  2 0.03 0 0
  3 0.05 0 0
  4 0.07 0 0
  5 0.09 0 0
  6 0.11 0.000734694 5.87755e-07
  7 0.13 0.00316327 2.53061e-06
  8 0.15 0.0174286 1.39429e-05
  9 0.17 0.142163 0.000113731
  10 0.19 0.748714 0.000598971
  11 0.21 3.5322 0.00282576
  12 0.23 22.1523 0.0177218
  13 0.25 111.023 0.088818
  14 0.27 362.447 0.289957
  15 0.29 732.675 0.58614
  16 0.31 1033.22 0.826576
  17 0.33 1184.65 0.947718
  18 0.35 1204.05 0.963241
  19 0.37 1170.54 0.936435
  20 0.39 1134.22 0.907375
  21 0.41 1122.63 0.898102
  22 0.43 1143.82 0.915056
  23 0.45 1178.97 0.943176
  24 0.47 1188.44 0.950755
  25 0.49 1173.11 0.938491
  26 0.51 1153.56 0.922848
  27 0.53 1126.44 0.901153
  28 0.55 1102.61 0.882089
  29 0.57 1080.07 0.864058
  30 0.59 1089.85 0.871881
  31 0.61 1101.82 0.881454
  32 0.63 1114.98 0.891982
  33 0.65 1126.88 0.901507
  34 0.67 1099.82 0.879852
  35 0.69 1012.28 0.809822
  36 0.71 828.002 0.662402
  37 0.73 505.971 0.404776
  38 0.75 209.613 0.16769
  39 0.77 61.0729 0.0488583
  40 0.79 14.9798 0.0119838
  41 0.81 4.11114 0.00328891
  42 0.83 1.12537 0.000900294
  43 0.85 0.304102 0.000243282
  44 0.87 0.0890816 7.12653e-05
  45 0.89 0.0264082 2.11265e-05
  46 0.91 0.00393878 3.15102e-06
  47 0.93 0.000428571 3.42857e-07
  48 0.95 0 0
  49 0.97 0 0
  50 0.99 0 0
