# Chunk-averaged data for fix densityRegions3 and group polymer
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
49500000 50 25400
  1 0.01 0 0
  2 0.03 0 0
  3 0.05 0 0
  4 0.07 0 0
  5 0.09 0 0
  6 0.11 0.00183673 1.46939e-06
  7 0.13 0.067 5.36e-05
  8 0.15 0.487694 0.000390155
  9 0.17 2.5251 0.00202008
  10 0.19 13.1978 0.0105582
  11 0.21 60.7583 0.0486066
  12 0.23 203.613 0.16289
  13 0.25 463.722 0.370977
  14 0.27 761.45 0.60916
  15 0.29 967.161 0.773729
  16 0.31 1053.68 0.842943
  17 0.33 1093.7 0.87496
  18 0.35 1069.97 0.855978
  19 0.37 1010.84 0.808672
  20 0.39 968.774 0.775019
  21 0.41 936.428 0.749143
  22 0.43 926.327 0.741062
  23 0.45 964.567 0.771654
  24 0.47 1030.74 0.824593
  25 0.49 1074.81 0.859845
  26 0.51 1077.18 0.86174
  27 0.53 1095.06 0.876044
  28 0.55 1062.95 0.850358
  29 0.57 1026.27 0.821016
  30 0.59 982.409 0.785927
  31 0.61 932.226 0.745781
  32 0.63 929.7 0.74376
  33 0.65 937.116 0.749693
  34 0.67 964.49 0.771592
  35 0.69 979.674 0.783739
  36 0.71 943.909 0.755127
  37 0.73 815.46 0.652368
  38 0.75 583.634 0.466908
  39 0.77 311.381 0.249105
  40 0.79 118.454 0.094763
  41 0.81 31.1427 0.0249141
  42 0.83 5.47839 0.00438271
  43 0.85 0.600673 0.000480539
  44 0.87 0.0522653 4.18122e-05
  45 0.89 0.00261224 2.0898e-06
  46 0.91 0 0
  47 0.93 0 0
  48 0.95 0 0
  49 0.97 0 0
  50 0.99 0 0
99000000 50 25399.999999999996
  1 0.01 0 0
  2 0.03 0 0
  3 0.05 0 0
  4 0.07 0 0
  5 0.09 0.000326531 2.61224e-07
  6 0.11 0.00797959 6.38367e-06
  7 0.13 0.109204 8.73633e-05
  8 0.15 0.887204 0.000709763
  9 0.17 4.65218 0.00372175
  10 0.19 20.0594 0.0160475
  11 0.21 67.9828 0.0543863
  12 0.23 183.438 0.146751
  13 0.25 387.874 0.310299
  14 0.27 671.033 0.536827
  15 0.29 937.606 0.750084
  16 0.31 1091.77 0.873418
  17 0.33 1110.94 0.888751
  18 0.35 1087.01 0.869612
  19 0.37 1095.46 0.87637
  20 0.39 1123.27 0.898617
  21 0.41 1106.31 0.885045
  22 0.43 1065.83 0.852667
  23 0.45 1051.91 0.841529
  24 0.47 1065.08 0.852064
  25 0.49 1060.27 0.84822
  26 0.51 1049.33 0.839466
  27 0.53 1058.46 0.84677
  28 0.55 1006.88 0.805506
  29 0.57 881.079 0.704863
  30 0.59 789.848 0.631879
  31 0.61 773.94 0.619152
  32 0.63 815.426 0.652341
  33 0.65 881.4 0.70512
  34 0.67 919.209 0.735368
  35 0.69 929.504 0.743603
  36 0.71 896.847 0.717477
  37 0.73 784.748 0.627798
  38 0.75 606.056 0.484845
  39 0.77 423.518 0.338815
  40 0.79 263.009 0.210407
  41 0.81 129.386 0.103509
  42 0.83 46.1174 0.0368939
  43 0.85 11.5656 0.00925247
  44 0.87 1.93224 0.0015458
  45 0.89 0.210306 0.000168245
  46 0.91 0.0108163 8.65306e-06
  47 0.93 0.000265306 2.12245e-07
  48 0.95 0 0
  49 0.97 0 0
  50 0.99 0 0
148500000 50 25400
  1 0.01 0 0
  2 0.03 0 0
  3 0.05 0.000612245 4.89796e-07
  4 0.07 0.0194694 1.55755e-05
  5 0.09 0.0933061 7.46449e-05
  6 0.11 0.282449 0.000225959
  7 0.13 0.600857 0.000480686
  8 0.15 1.91329 0.00153063
  9 0.17 7.09949 0.00567959
  10 0.19 24.4894 0.0195915
  11 0.21 75.2192 0.0601754
  12 0.23 202.039 0.161631
  13 0.25 424.497 0.339598
  14 0.27 703.531 0.562825
  15 0.29 949.407 0.759525
  16 0.31 1075.26 0.860204
  17 0.33 1077.18 0.861745
  18 0.35 1043.54 0.83483
  19 0.37 1031.01 0.824809
  20 0.39 1061.79 0.849429
  21 0.41 1078.31 0.862649
  22 0.43 1034.14 0.827314
  23 0.45 1024.74 0.819794
  24 0.47 1060.41 0.84833
  25 0.49 1072.29 0.85783
  26 0.51 1045.67 0.836539
  27 0.53 968.764 0.775011
  28 0.55 912.133 0.729706
  29 0.57 900.502 0.720402
  30 0.59 897.799 0.718239
  31 0.61 901.012 0.72081
  32 0.63 896.378 0.717103
  33 0.65 898.123 0.718498
  34 0.67 900.963 0.72077
  35 0.69 928.449 0.742759
  36 0.71 947.661 0.758129
  37 0.73 871.686 0.697349
  38 0.75 674.907 0.539925
  39 0.77 414.982 0.331986
  40 0.79 197.192 0.157754
  41 0.81 69.9443 0.0559555
  42 0.83 20.0031 0.0160024
  43 0.85 4.63529 0.00370823
  44 0.87 0.954918 0.000763935
  45 0.89 0.225327 0.000180261
  46 0.91 0.0929796 7.43837e-05
  47 0.93 0.0408776 3.2702e-05
  48 0.95 0.0123469 9.87755e-06
  49 0.97 0.00244898 1.95918e-06
  50 0.99 0 0
