# Chunk-averaged data for fix densityRegions3 and group polymer
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
148500000 50 25400
  1 0.01 0 0
  2 0.03 0 0
  3 0.05 0 0
  4 0.07 0.000285714 2.28571e-07
  5 0.09 0.00761224 6.0898e-06
  6 0.11 0.102061 8.1649e-05
  7 0.13 0.615878 0.000492702
  8 0.15 2.60347 0.00208278
  9 0.17 8.61194 0.00688955
  10 0.19 24.8773 0.0199018
  11 0.21 66.9879 0.0535903
  12 0.23 171.629 0.137303
  13 0.25 362.935 0.290348
  14 0.27 591.616 0.473293
  15 0.29 808.64 0.646912
  16 0.31 952.169 0.761735
  17 0.33 1034.48 0.827587
  18 0.35 1072.45 0.857959
  19 0.37 1079.44 0.863551
  20 0.39 1083.68 0.866942
  21 0.41 1084.65 0.867719
  22 0.43 1057.37 0.845895
  23 0.45 1018.94 0.815149
  24 0.47 1013.79 0.811028
  25 0.49 1032.35 0.825876
  26 0.51 1064.89 0.851911
  27 0.53 1087.6 0.870081
  28 0.55 1083.32 0.866658
  29 0.57 1098.11 0.87849
  30 0.59 1115.97 0.892776
  31 0.61 1117.48 0.893983
  32 0.63 1077.6 0.862079
  33 0.65 1021.76 0.817404
  34 0.67 998.876 0.799101
  35 0.69 951.186 0.760949
  36 0.71 841.25 0.673
  37 0.73 641.552 0.513242
  38 0.75 408.637 0.32691
  39 0.77 222.339 0.177871
  40 0.79 108.697 0.086958
  41 0.81 51.9627 0.0415702
  42 0.83 24.3038 0.019443
  43 0.85 11.0624 0.00884994
  44 0.87 4.11892 0.00329513
  45 0.89 1.10469 0.000883755
  46 0.91 0.230612 0.00018449
  47 0.93 0.0219388 1.7551e-05
  48 0.95 4.08163e-05 3.26531e-08
  49 0.97 0 0
  50 0.99 0 0
198000000 50 25400.000000000004
  1 0.01 0 0
  2 0.03 0.000795918 6.36735e-07
  3 0.05 0.00842857 6.74286e-06
  4 0.07 0.0309592 2.47673e-05
  5 0.09 0.147755 0.000118204
  6 0.11 0.465571 0.000372457
  7 0.13 0.928653 0.000742922
  8 0.15 1.25643 0.00100514
  9 0.17 2.38473 0.00190779
  10 0.19 9.57469 0.00765976
  11 0.21 42.9056 0.0343245
  12 0.23 145.816 0.116653
  13 0.25 352.886 0.282309
  14 0.27 609.201 0.487361
  15 0.29 810.557 0.648446
  16 0.31 950.113 0.76009
  17 0.33 1055.09 0.844071
  18 0.35 1090.35 0.872281
  19 0.37 1073.76 0.859007
  20 0.39 1031.59 0.825274
  21 0.41 1003.49 0.802788
  22 0.43 1010.03 0.808028
  23 0.45 1060.96 0.848767
  24 0.47 1103.45 0.882758
  25 0.49 1145.78 0.916625
  26 0.51 1157.27 0.925813
  27 0.53 1130.42 0.904336
  28 0.55 1085.27 0.868219
  29 0.57 1101.23 0.880984
  30 0.59 1107.65 0.886118
  31 0.61 1076.47 0.861176
  32 0.63 1065.78 0.852627
  33 0.65 1063.24 0.850593
  34 0.67 1037.92 0.830333
  35 0.69 979.22 0.783376
  36 0.71 842.007 0.673606
  37 0.73 608.281 0.486625
  38 0.75 360.883 0.288706
  39 0.77 179.551 0.143641
  40 0.79 74.0599 0.0592479
  41 0.81 23.0383 0.0184306
  42 0.83 5.55502 0.00444402
  43 0.85 1.19035 0.000952278
  44 0.87 0.179 0.0001432
  45 0.89 0.00912245 7.29796e-06
  46 0.91 0.000142857 1.14286e-07
  47 0.93 0 0
  48 0.95 0 0
  49 0.97 0 0
  50 0.99 0 0
