# Chunk-averaged data for fix densityRegions2 and group client_coms
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
66500000 50 50
  1 0.01 0 0
  2 0.03 0 0
  3 0.05 0 0
  4 0.07 0 0
  5 0.09 0 0
  6 0.11 0 0
  7 0.13 0.000444444 3.55556e-07
  8 0.15 0.000888889 7.11111e-07
  9 0.17 0.000444444 3.55556e-07
  10 0.19 0.00188889 1.51111e-06
  11 0.21 0.00333333 2.66667e-06
  12 0.23 0.007 5.6e-06
  13 0.25 0.0713333 5.70667e-05
  14 0.27 0.59 0.000472
  15 0.29 1.47378 0.00117902
  16 0.31 2.00578 0.00160462
  17 0.33 2.42389 0.00193911
  18 0.35 2.25111 0.00180089
  19 0.37 2.33778 0.00187022
  20 0.39 2.459 0.0019672
  21 0.41 2.32311 0.00185849
  22 0.43 2.10333 0.00168267
  23 0.45 2.24944 0.00179956
  24 0.47 1.88856 0.00151084
  25 0.49 2.19056 0.00175244
  26 0.51 2.51533 0.00201227
  27 0.53 2.20367 0.00176293
  28 0.55 1.91178 0.00152942
  29 0.57 2.16411 0.00173129
  30 0.59 2.15511 0.00172409
  31 0.61 2.40744 0.00192596
  32 0.63 2.41856 0.00193484
  33 0.65 2.06789 0.00165431
  34 0.67 2.15289 0.00172231
  35 0.69 2.40389 0.00192311
  36 0.71 1.83122 0.00146498
  37 0.73 1.02711 0.000821689
  38 0.75 0.311778 0.000249422
  39 0.77 0.0438889 3.51111e-05
  40 0.79 0.00366667 2.93333e-06
  41 0.81 0 0
  42 0.83 0 0
  43 0.85 0 0
  44 0.87 0 0
  45 0.89 0 0
  46 0.91 0 0
  47 0.93 0 0
  48 0.95 0 0
  49 0.97 0 0
  50 0.99 0 0
76000000 50 50.00000000000001
  1 0.01 0 0
  2 0.03 0 0
  3 0.05 0 0
  4 0.07 0 0
  5 0.09 0 0
  6 0.11 0 0
  7 0.13 0 0
  8 0.15 0 0
  9 0.17 0 0
  10 0.19 0.000444444 3.55556e-07
  11 0.21 0.00511111 4.08889e-06
  12 0.23 0.0766667 6.13333e-05
  13 0.25 0.387444 0.000309956
  14 0.27 1.08744 0.000869956
  15 0.29 2.01 0.001608
  16 0.31 2.27378 0.00181902
  17 0.33 2.19867 0.00175893
  18 0.35 2.48767 0.00199013
  19 0.37 1.84778 0.00147822
  20 0.39 2.113 0.0016904
  21 0.41 2.87578 0.00230062
  22 0.43 2.612 0.0020896
  23 0.45 2.186 0.0017488
  24 0.47 1.68089 0.00134471
  25 0.49 1.63956 0.00131164
  26 0.51 1.77589 0.00142071
  27 0.53 2.94344 0.00235476
  28 0.55 2.12011 0.00169609
  29 0.57 1.67967 0.00134373
  30 0.59 1.70256 0.00136204
  31 0.61 2.03978 0.00163182
  32 0.63 2.45733 0.00196587
  33 0.65 2.59822 0.00207858
  34 0.67 2.37589 0.00190071
  35 0.69 2.16689 0.00173351
  36 0.71 1.494 0.0011952
  37 0.73 0.868 0.0006944
  38 0.75 0.268778 0.000215022
  39 0.77 0.0247778 1.98222e-05
  40 0.79 0.00244444 1.95556e-06
  41 0.81 0 0
  42 0.83 0 0
  43 0.85 0 0
  44 0.87 0 0
  45 0.89 0 0
  46 0.91 0 0
  47 0.93 0 0
  48 0.95 0 0
  49 0.97 0 0
  50 0.99 0 0
85500000 50 50.00000000000001
  1 0.01 0 0
  2 0.03 0 0
  3 0.05 0 0
  4 0.07 0 0
  5 0.09 0 0
  6 0.11 0 0
  7 0.13 0 0
  8 0.15 0 0
  9 0.17 0.000222222 1.77778e-07
  10 0.19 0.00411111 3.28889e-06
  11 0.21 0.0246667 1.97333e-05
  12 0.23 0.0942222 7.53778e-05
  13 0.25 0.301778 0.000241422
  14 0.27 1.25967 0.00100773
  15 0.29 2.23756 0.00179004
  16 0.31 2.40856 0.00192684
  17 0.33 2.33844 0.00187076
  18 0.35 2.10911 0.00168729
  19 0.37 2.05222 0.00164178
  20 0.39 2.88722 0.00230978
  21 0.41 2.402 0.0019216
