# Chunk-averaged data for fix densityRegions2 and group client_coms
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
49500000 50 50.00000000000001
  1 0.01 0.693776 0.00055502
  2 0.03 0.694224 0.00055538
  3 0.05 0.683633 0.000546906
  4 0.07 0.671429 0.000537143
  5 0.09 0.665653 0.000532522
  6 0.11 0.67349 0.000538792
  7 0.13 0.681857 0.000545486
  8 0.15 0.694857 0.000555886
  9 0.17 0.760061 0.000608049
  10 0.19 0.901633 0.000721306
  11 0.21 1.01906 0.000815249
  12 0.23 0.952184 0.000761747
  13 0.25 0.921878 0.000737502
  14 0.27 1.08339 0.00086671
  15 0.29 1.24888 0.000999102
  16 0.31 1.333 0.0010664
  17 0.33 1.3762 0.00110096
  18 0.35 1.29845 0.00103876
  19 0.37 1.23384 0.000987069
  20 0.39 1.16639 0.00093311
  21 0.41 1.07941 0.000863527
  22 0.43 1.11686 0.000893486
  23 0.45 1.14953 0.000919624
  24 0.47 1.35198 0.00108158
  25 0.49 1.30243 0.00104194
  26 0.51 1.32984 0.00106387
  27 0.53 1.53431 0.00122744
  28 0.55 1.44418 0.00115535
  29 0.57 1.3431 0.00107448
  30 0.59 1.49161 0.00119329
  31 0.61 1.34584 0.00107667
  32 0.63 1.09114 0.000872914
  33 0.65 0.978122 0.000782498
  34 0.67 1.0228 0.000818237
  35 0.69 1.06576 0.000852604
  36 0.71 1.11776 0.000894204
  37 0.73 1.20416 0.000963331
  38 0.75 1.20598 0.000964784
  39 0.77 1.10257 0.000882057
  40 0.79 0.978592 0.000782873
  41 0.81 0.819245 0.000655396
  42 0.83 0.731122 0.000584898
  43 0.85 0.702918 0.000562335
  44 0.87 0.682224 0.00054578
  45 0.89 0.674327 0.000539461
  46 0.91 0.677163 0.000541731
  47 0.93 0.663408 0.000530727
  48 0.95 0.672184 0.000537747
  49 0.97 0.679755 0.000543804
  50 0.99 0.687816 0.000550253
99000000 50 50
  1 0.01 0.623571 0.000498857
  2 0.03 0.634327 0.000507461
  3 0.05 0.630735 0.000504588
  4 0.07 0.630694 0.000504555
  5 0.09 0.638367 0.000510694
  6 0.11 0.650163 0.000520131
  7 0.13 0.671143 0.000536914
  8 0.15 0.71451 0.000571608
  9 0.17 0.79702 0.000637616
  10 0.19 0.996878 0.000797502
  11 0.21 1.19804 0.000958433
  12 0.23 1.20961 0.00096769
  13 0.25 1.15386 0.000923086
  14 0.27 1.0529 0.000842318
  15 0.29 1.02082 0.000816653
  16 0.31 1.09392 0.000875135
  17 0.33 1.0982 0.000878563
  18 0.35 1.09998 0.000879984
  19 0.37 1.2118 0.000969437
  20 0.39 1.39196 0.00111357
  21 0.41 1.35765 0.00108612
  22 0.43 1.36424 0.0010914
  23 0.45 1.42084 0.00113667
  24 0.47 1.28141 0.00102513
  25 0.49 1.20986 0.000967886
  26 0.51 1.27192 0.00101753
  27 0.53 1.3011 0.00104088
  28 0.55 1.28324 0.0010266
  29 0.57 1.42859 0.00114287
  30 0.59 1.60992 0.00128793
  31 0.61 1.6362 0.00130896
  32 0.63 1.48702 0.00118962
  33 0.65 1.28422 0.00102738
  34 0.67 0.987102 0.000789682
  35 0.69 0.920612 0.00073649
  36 0.71 0.952551 0.000762041
  37 0.73 1.08592 0.000868735
  38 0.75 1.22265 0.000978122
  39 0.77 1.09161 0.00087329
  40 0.79 0.848571 0.000678857
  41 0.81 0.713224 0.00057058
  42 0.83 0.655184 0.000524147
  43 0.85 0.638612 0.00051089
  44 0.87 0.636 0.0005088
  45 0.89 0.636367 0.000509094
  46 0.91 0.644163 0.000515331
  47 0.93 0.635714 0.000508571
  48 0.95 0.633633 0.000506906
  49 0.97 0.62202 0.000497616
  50 0.99 0.621347 0.000497078
148500000 50 50
  1 0.01 0.687 0.0005496
  2 0.03 0.675857 0.000540686
  3 0.05 0.685408 0.000548327
  4 0.07 0.680469 0.000544376
  5 0.09 0.675653 0.000540522
  6 0.11 0.684735 0.000547788
  7 0.13 0.702694 0.000562155
  8 0.15 0.776857 0.000621486
  9 0.17 0.881878 0.000705502
  10 0.19 1.03031 0.000824245
  11 0.21 1.15669 0.000925355
  12 0.23 1.17933 0.000943461
  13 0.25 1.16284 0.000930269
  14 0.27 1.03508 0.000828065
  15 0.29 0.998878 0.000799102
  16 0.31 1.1518 0.000921437
  17 0.33 1.18316 0.000946531
  18 0.35 1.32343 0.00105874
  19 0.37 1.32953 0.00106362
  20 0.39 1.34182 0.00107345
  21 0.41 1.34492 0.00107593
  22 0.43 1.27853 0.00102282
  23 0.45 1.23114 0.000984914
  24 0.47 1.10755 0.000886041
  25 0.49 1.16361 0.00093089
  26 0.51 1.32478 0.00105982
  27 0.53 1.21188 0.000969502
  28 0.55 1.06741 0.000853927
  29 0.57 1.01388 0.000811102
  30 0.59 1.18976 0.000951804
  31 0.61 1.30571 0.00104457
  32 0.63 1.30629 0.00104503
  33 0.65 1.32422 0.00105938
  34 0.67 1.29184 0.00103347
  35 0.69 1.10808 0.000886465
  36 0.71 1.07645 0.000861159
  37 0.73 1.10312 0.000882498
  38 0.75 1.1151 0.000892082
  39 0.77 1.04963 0.000839706
  40 0.79 0.916796 0.000733437
  41 0.81 0.787918 0.000630335
  42 0.83 0.726959 0.000581567
  43 0.85 0.71002 0.000568016
  44 0.87 0.68898 0.000551184
  45 0.89 0.698755 0.000559004
  46 0.91 0.700286 0.000560229
  47 0.93 0.712592 0.000570073
  48 0.95 0.702959 0.000562367
  49 0.97 0.701286 0.000561029
  50 0.99 0.696143 0.000556914
