# Chunk-averaged data for fix densityRegions3 and group polymer
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
49500000 50 25400.000000000004
  1 0.01 0 0
  2 0.03 0 0
  3 0.05 4.08163e-05 3.26531e-08
  4 0.07 0.000469388 3.7551e-07
  5 0.09 0.00442857 3.54286e-06
  6 0.11 0.0314694 2.51755e-05
  7 0.13 0.267347 0.000213878
  8 0.15 2.06712 0.0016537
  9 0.17 10.9837 0.00878692
  10 0.19 39.2599 0.0314079
  11 0.21 109.397 0.0875174
  12 0.23 250.139 0.200111
  13 0.25 468.125 0.3745
  14 0.27 683.204 0.546564
  15 0.29 816.435 0.653148
  16 0.31 900.972 0.720778
  17 0.33 961.598 0.769279
  18 0.35 1022.6 0.818076
  19 0.37 1071.68 0.857344
  20 0.39 1135.76 0.908612
  21 0.41 1159.6 0.927676
  22 0.43 1086.54 0.869232
  23 0.45 991.646 0.793317
  24 0.47 964.708 0.771766
  25 0.49 956.742 0.765394
  26 0.51 957.604 0.766083
  27 0.53 986.391 0.789113
  28 0.55 1020.43 0.816343
  29 0.57 1050.43 0.840342
  30 0.59 1107.21 0.885769
  31 0.61 1142.46 0.913969
  32 0.63 1156 0.924799
  33 0.65 1127.07 0.901654
  34 0.67 1044.64 0.835715
  35 0.69 916.438 0.733151
  36 0.71 757.756 0.606205
  37 0.73 593.66 0.474928
  38 0.75 410.319 0.328255
  39 0.77 241.823 0.193459
  40 0.79 133.482 0.106786
  41 0.81 69.1848 0.0553479
  42 0.83 32.9913 0.0263931
  43 0.85 13.6558 0.0109246
  44 0.87 4.83765 0.00387012
  45 0.89 1.51316 0.00121053
  46 0.91 0.321184 0.000256947
  47 0.93 0.0265918 2.12735e-05
  48 0.95 0.000408163 3.26531e-07
  49 0.97 0 0
  50 0.99 0 0
99000000 50 25400.000000000004
  1 0.01 0 0
  2 0.03 0 0
  3 0.05 0.000122449 9.79592e-08
  4 0.07 0.00734694 5.87755e-06
  5 0.09 0.061898 4.95184e-05
  6 0.11 0.313878 0.000251102
  7 0.13 1.23998 0.000991984
  8 0.15 4.686 0.0037488
  9 0.17 15.8495 0.0126796
  10 0.19 44.3929 0.0355143
  11 0.21 104.555 0.0836441
  12 0.23 217.606 0.174085
  13 0.25 399.076 0.31926
  14 0.27 616.615 0.493292
  15 0.29 802.224 0.641779
  16 0.31 927.287 0.74183
  17 0.33 988.362 0.79069
  18 0.35 1031.24 0.82499
  19 0.37 1083.7 0.866956
  20 0.39 1063.32 0.850657
  21 0.41 1041.5 0.833198
  22 0.43 1050.32 0.840253
  23 0.45 1054.12 0.843294
  24 0.47 1073.51 0.858811
  25 0.49 1078.92 0.863136
  26 0.51 1100.56 0.880448
  27 0.53 1121.35 0.897081
  28 0.55 1107.04 0.885633
  29 0.57 1065.69 0.852552
  30 0.59 1039.88 0.831901
  31 0.61 996.04 0.796832
  32 0.63 1002.57 0.802055
  33 0.65 1033.55 0.826841
  34 0.67 1052.58 0.842066
  35 0.69 1023.93 0.81914
  36 0.71 908.769 0.727015
  37 0.73 680.724 0.544579
  38 0.75 403.688 0.32295
  39 0.77 185.106 0.148085
  40 0.79 60.9423 0.0487539
  41 0.81 15.05 0.01204
  42 0.83 3.07084 0.00245667
  43 0.85 0.495082 0.000396065
  44 0.87 0.0666531 5.33224e-05
  45 0.89 0.00334694 2.67755e-06
  46 0.91 0 0
  47 0.93 0 0
  48 0.95 0 0
  49 0.97 0 0
  50 0.99 0 0
148500000 50 25400
  1 0.01 0 0
  2 0.03 0 0
  3 0.05 0 0
  4 0.07 0 0
  5 0.09 0.000510204 4.08163e-07
  6 0.11 0.00789796 6.31837e-06
  7 0.13 0.0726939 5.81551e-05
  8 0.15 0.502857 0.000402286
  9 0.17 2.80586 0.00224469
  10 0.19 13.1466 0.0105173
  11 0.21 56.6604 0.0453283
  12 0.23 188.739 0.150991
  13 0.25 425.316 0.340253
  14 0.27 673.798 0.539038
  15 0.29 831.846 0.665477
  16 0.31 944.851 0.755881
