# Chunk-averaged data for fix densityRegions3 and group polymer
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
148500000 50 25399.999999999996
  1 0.01 0 0
  2 0.03 0 0
  3 0.05 0.00155102 1.24082e-06
  4 0.07 0.00608163 4.86531e-06
  5 0.09 0.0378776 3.0302e-05
  6 0.11 0.223082 0.000178465
  7 0.13 0.806592 0.000645273
  8 0.15 2.38661 0.00190929
  9 0.17 7.38202 0.00590562
  10 0.19 24.4984 0.0195987
  11 0.21 80.6727 0.0645381
  12 0.23 227.366 0.181893
  13 0.25 472.099 0.377679
  14 0.27 730.604 0.584483
  15 0.29 911.458 0.729167
  16 0.31 1002.67 0.802135
  17 0.33 1027.35 0.821881
  18 0.35 1029.4 0.82352
  19 0.37 1072 0.857598
  20 0.39 1108.02 0.886417
  21 0.41 1129.65 0.903721
  22 0.43 1106.49 0.885195
  23 0.45 1084.81 0.867846
  24 0.47 1079.73 0.863785
  25 0.49 1039.16 0.831328
  26 0.51 1013.77 0.811015
  27 0.53 1033.61 0.826892
  28 0.55 1064.91 0.851932
  29 0.57 1093.35 0.874677
  30 0.59 1132.97 0.906374
  31 0.61 1159.75 0.927796
  32 0.63 1105.76 0.884611
  33 0.65 1027.42 0.821936
  34 0.67 926.347 0.741078
  35 0.69 815.219 0.652175
  36 0.71 688.229 0.550583
  37 0.73 525.101 0.420081
  38 0.75 351.276 0.281021
  39 0.77 195.676 0.15654
  40 0.79 85.7719 0.0686175
  41 0.81 31.7255 0.0253804
  42 0.83 9.5041 0.00760328
  43 0.85 2.28496 0.00182797
  44 0.87 0.44502 0.000356016
  45 0.89 0.0536939 4.29551e-05
  46 0.91 0.00112245 8.97959e-07
  47 0.93 0 0
  48 0.95 0 0
  49 0.97 0 0
  50 0.99 0 0
198000000 50 25400
  1 0.01 0 0
  2 0.03 0 0
  3 0.05 0 0
  4 0.07 0.00883673 7.06939e-06
  5 0.09 0.237306 0.000189845
  6 0.11 1.53457 0.00122766
  7 0.13 5.37553 0.00430042
  8 0.15 16.1374 0.0129099
  9 0.17 42.6071 0.0340857
  10 0.19 94.2404 0.0753924
  11 0.21 167.512 0.13401
  12 0.23 269.241 0.215393
  13 0.25 419.929 0.335943
  14 0.27 606.534 0.485227
  15 0.29 821.172 0.656938
  16 0.31 983.932 0.787145
  17 0.33 1059.18 0.847344
  18 0.35 1106.51 0.885205
  19 0.37 1134.81 0.907848
  20 0.39 1105.25 0.884204
  21 0.41 1065.82 0.852655
  22 0.43 1059.15 0.847317
  23 0.45 1031.34 0.825072
  24 0.47 999.111 0.799289
  25 0.49 1017.14 0.813714
  26 0.51 1067.13 0.853707
  27 0.53 1110.1 0.88808
  28 0.55 1123.24 0.898591
  29 0.57 1147.29 0.917831
  30 0.59 1165.9 0.932722
  31 0.61 1129.3 0.903439
  32 0.63 1094.91 0.87593
  33 0.65 1052.02 0.841614
  34 0.67 946.401 0.757121
  35 0.69 810.251 0.648201
  36 0.71 670.279 0.536223
  37 0.73 500.876 0.400701
  38 0.75 315.567 0.252454
  39 0.77 155.833 0.124666
  40 0.79 66.3773 0.0531018
  41 0.81 26.0605 0.0208484
  42 0.83 8.69733 0.00695786
  43 0.85 2.25104 0.00180083
  44 0.87 0.575306 0.000460245
  45 0.89 0.14049 0.000112392
  46 0.91 0.0270816 2.16653e-05
  47 0.93 0.00106122 8.4898e-07
  48 0.95 0 0
  49 0.97 0 0
  50 0.99 0 0
