# Chunk-averaged data for fix densityRegions3 and group polymer
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
49500000 50 25400.000000000004
  1 0.01 0.000163265 1.30612e-07
  2 0.03 0.00261224 2.0898e-06
  3 0.05 0.0210204 1.68163e-05
  4 0.07 0.0660816 5.28653e-05
  5 0.09 0.149163 0.000119331
  6 0.11 0.766408 0.000613127
  7 0.13 3.44184 0.00275347
  8 0.15 14.0948 0.0112758
  9 0.17 46.133 0.0369064
  10 0.19 112.502 0.0900015
  11 0.21 223.026 0.178421
  12 0.23 388.452 0.310761
  13 0.25 606.397 0.485117
  14 0.27 806.048 0.644838
  15 0.29 943.031 0.754425
  16 0.31 1014.11 0.811289
  17 0.33 1031.32 0.825053
  18 0.35 1002.86 0.802289
  19 0.37 973.063 0.778451
  20 0.39 1010.6 0.808477
  21 0.41 1029.67 0.823732
  22 0.43 998.994 0.799195
  23 0.45 978.312 0.78265
  24 0.47 981.43 0.785144
  25 0.49 1000.59 0.800472
  26 0.51 1003.17 0.802537
  27 0.53 986.94 0.789552
  28 0.55 950.328 0.760262
  29 0.57 923.758 0.739006
  30 0.59 886.434 0.709147
  31 0.61 856.007 0.684806
  32 0.63 842.239 0.673791
  33 0.65 869.359 0.695487
  34 0.67 931.343 0.745074
  35 0.69 952.703 0.762162
  36 0.71 898.773 0.719018
  37 0.73 770.313 0.61625
  38 0.75 600.817 0.480654
  39 0.77 399.493 0.319594
  40 0.79 213.391 0.170713
  41 0.81 91.7724 0.0734179
  42 0.83 36.2209 0.0289767
  43 0.85 14.7267 0.0117813
  44 0.87 5.33335 0.00426668
  45 0.89 1.44888 0.0011591
  46 0.91 0.316265 0.000253012
  47 0.93 0.0439388 3.5151e-05
  48 0.95 0.000693878 5.55102e-07
  49 0.97 0 0
  50 0.99 0 0
99000000 50 25400.000000000004
  1 0.01 0 0
  2 0.03 4.08163e-05 3.26531e-08
  3 0.05 0.00238776 1.9102e-06
  4 0.07 0.0118571 9.48571e-06
  5 0.09 0.0919388 7.3551e-05
  6 0.11 0.500286 0.000400229
  7 0.13 2.69353 0.00215482
  8 0.15 11.1789 0.00894309
  9 0.17 40.1984 0.0321587
  10 0.19 108.025 0.0864196
  11 0.21 222.043 0.177635
  12 0.23 391.417 0.313133
  13 0.25 612.529 0.490023
  14 0.27 816.339 0.653071
  15 0.29 940.135 0.752108
  16 0.31 1017.32 0.813857
  17 0.33 1014.93 0.811946
  18 0.35 1006.87 0.805498
  19 0.37 1018.84 0.81507
  20 0.39 982.966 0.786373
  21 0.41 924.049 0.739239
  22 0.43 903.38 0.722704
  23 0.45 958.223 0.766578
  24 0.47 1003.58 0.802865
  25 0.49 1041.74 0.833389
  26 0.51 1068.57 0.854858
  27 0.53 1013.05 0.810442
  28 0.55 964.011 0.771209
  29 0.57 946.056 0.756845
  30 0.59 934.334 0.747467
  31 0.61 910.998 0.728798
  32 0.63 865.782 0.692626
  33 0.65 880.16 0.704128
  34 0.67 967.472 0.773977
  35 0.69 1020.19 0.816152
  36 0.71 966.303 0.773042
  37 0.73 788.779 0.631023
  38 0.75 530.882 0.424706
  39 0.77 290.766 0.232613
  40 0.79 140.498 0.112398
  41 0.81 60.7629 0.0486103
  42 0.83 23.838 0.0190704
  43 0.85 8.15129 0.00652103
  44 0.87 1.94276 0.0015542
  45 0.89 0.320265 0.000256212
  46 0.91 0.0606735 4.85388e-05
  47 0.93 0.00457143 3.65714e-06
  48 0.95 0.000102041 8.16327e-08
  49 0.97 0 0
  50 0.99 0 0
148500000 50 25399.999999999996
  1 0.01 0 0
  2 0.03 0 0
  3 0.05 0 0
  4 0.07 0.000285714 2.28571e-07
  5 0.09 0.0214286 1.71429e-05
  6 0.11 0.304469 0.000243576
  7 0.13 1.81206 0.00144965
  8 0.15 8.47959 0.00678367
  9 0.17 32.904 0.0263232
  10 0.19 97.8186 0.0782549
  11 0.21 225.351 0.180281
  12 0.23 425.623 0.340499
  13 0.25 654.181 0.523345
  14 0.27 812.674 0.650139
  15 0.29 896.094 0.716875
  16 0.31 953.907 0.763125
  17 0.33 992.098 0.793678
  18 0.35 969.77 0.775816
  19 0.37 961.766 0.769413
  20 0.39 992.804 0.794243
  21 0.41 1010.99 0.808792
  22 0.43 984.232 0.787385
  23 0.45 959.407 0.767525
  24 0.47 976.06 0.780848
  25 0.49 1006.05 0.804843
  26 0.51 1028.07 0.822455
  27 0.53 1022.35 0.817877
  28 0.55 999.225 0.79938
  29 0.57 951.096 0.760877
  30 0.59 912.331 0.729865
  31 0.61 897.878 0.718302
  32 0.63 944.175 0.75534
  33 0.65 1016.64 0.813309
  34 0.67 1047.15 0.83772
  35 0.69 992.735 0.794188
  36 0.71 894.154 0.715323
  37 0.73 741.14 0.592912
  38 0.75 513.136 0.410509
  39 0.77 288.385 0.230708
  40 0.79 128.427 0.102742
  41 0.81 43.7799 0.0350239
  42 0.83 12.6486 0.0101189
  43 0.85 3.41331 0.00273064
  44 0.87 0.716143 0.000572914
  45 0.89 0.175776 0.00014062
  46 0.91 0.0297959 2.38367e-05
  47 0.93 0.00242857 1.94286e-06
  48 0.95 0 0
  49 0.97 0 0
  50 0.99 0 0
