# Chunk-averaged data for fix densityRegions3 and group polymer
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
49500000 50 25400.000000000007
  1 0.01 0 0
  2 0.03 0.00485714 3.88571e-06
  3 0.05 0.0338776 2.7102e-05
  4 0.07 0.100796 8.06367e-05
  5 0.09 0.195367 0.000156294
  6 0.11 0.403694 0.000322955
  7 0.13 0.959041 0.000767233
  8 0.15 2.17282 0.00173825
  9 0.17 6.10394 0.00488315
  10 0.19 22.1466 0.0177173
  11 0.21 68.3454 0.0546763
  12 0.23 179.288 0.14343
  13 0.25 382.909 0.306327
  14 0.27 649.888 0.51991
  15 0.29 886.879 0.709503
  16 0.31 1030.95 0.82476
  17 0.33 1085.55 0.868439
  18 0.35 1092.06 0.873649
  19 0.37 1106.6 0.885283
  20 0.39 1097.3 0.877838
  21 0.41 1079.51 0.863607
  22 0.43 1065.05 0.852039
  23 0.45 1057.1 0.845677
  24 0.47 1052.73 0.842187
  25 0.49 1082.85 0.866282
  26 0.51 1088.12 0.870495
  27 0.53 1082.18 0.865747
  28 0.55 1085.38 0.868306
  29 0.57 1093.87 0.875099
  30 0.59 1102.94 0.882351
  31 0.61 1104.55 0.883644
  32 0.63 1105.95 0.88476
  33 0.65 1105.96 0.884769
  34 0.67 1088.88 0.871105
  35 0.69 1023.64 0.818914
  36 0.71 811.709 0.649367
  37 0.73 477.512 0.38201
  38 0.75 202.396 0.161917
  39 0.77 61.1924 0.0489539
  40 0.79 13.4467 0.0107574
  41 0.81 2.33902 0.00187122
  42 0.83 0.533245 0.000426596
  43 0.85 0.172714 0.000138171
  44 0.87 0.0592857 4.74286e-05
  45 0.89 0.0193878 1.55102e-05
  46 0.91 0.00242857 1.94286e-06
  47 0.93 0 0
  48 0.95 0 0
  49 0.97 0 0
  50 0.99 0 0
99000000 50 25400.000000000004
  1 0.01 0 0
  2 0.03 0 0
  3 0.05 0 0
  4 0.07 0 0
  5 0.09 8.16327e-05 6.53061e-08
  6 0.11 0.00459184 3.67347e-06
  7 0.13 0.0882653 7.06122e-05
  8 0.15 0.698816 0.000559053
  9 0.17 4.23178 0.00338542
  10 0.19 20.2651 0.0162121
  11 0.21 63.9359 0.0511487
  12 0.23 150.646 0.120516
  13 0.25 296.919 0.237536
  14 0.27 514.034 0.411227
  15 0.29 786.433 0.629146
  16 0.31 1003.48 0.802782
  17 0.33 1119.38 0.895506
  18 0.35 1157.87 0.926294
  19 0.37 1131.77 0.905418
  20 0.39 1114.54 0.891633
  21 0.41 1124.43 0.899547
  22 0.43 1144.86 0.915888
  23 0.45 1147.31 0.917847
  24 0.47 1126.03 0.900827
  25 0.49 1142.56 0.914048
  26 0.51 1160.81 0.92865
  27 0.53 1156.18 0.924943
  28 0.55 1117 0.893603
  29 0.57 1102.73 0.882187
  30 0.59 1137.5 0.909998
  31 0.61 1145.14 0.91611
  32 0.63 1103.11 0.882492
  33 0.65 1060.72 0.84858
  34 0.67 1016.69 0.813351
  35 0.69 905.582 0.724466
  36 0.71 710.012 0.56801
  37 0.73 444.818 0.355855
  38 0.75 204.62 0.163696
  39 0.77 66.1213 0.052897
  40 0.79 16.2532 0.0130026
  41 0.81 2.93686 0.00234949
  42 0.83 0.265163 0.000212131
  43 0.85 0.00569388 4.5551e-06
  44 0.87 0 0
  45 0.89 0 0
  46 0.91 0 0
  47 0.93 0 0
  48 0.95 0 0
  49 0.97 0 0
  50 0.99 0 0
148500000 50 25399.999999999985
  1 0.01 0 0
  2 0.03 0 0
  3 0.05 0 0
  4 0.07 0 0
  5 0.09 0 0
  6 0.11 0.00238776 1.9102e-06
  7 0.13 0.0386122 3.08898e-05
  8 0.15 0.286816 0.000229453
  9 0.17 2.20363 0.00176291
  10 0.19 12.9934 0.0103947
  11 0.21 51.0424 0.040834
  12 0.23 146.861 0.117489
  13 0.25 316.435 0.253148
  14 0.27 556.291 0.445033
  15 0.29 795.082 0.636066
  16 0.31 945.714 0.756571
  17 0.33 1046.05 0.836836
  18 0.35 1092.19 0.873752
  19 0.37 1120.06 0.896051
  20 0.39 1175.06 0.940045
  21 0.41 1191.77 0.953412
  22 0.43 1176.62 0.941296
  23 0.45 1167.34 0.93387
  24 0.47 1133.23 0.906581
  25 0.49 1119.56 0.895644
  26 0.51 1142.34 0.913874
  27 0.53 1176.92 0.941532
  28 0.55 1186.21 0.94897
  29 0.57 1145.67 0.91654
  30 0.59 1100.5 0.880396
  31 0.61 1070.72 0.856576
  32 0.63 1081.07 0.864855
  33 0.65 1095.38 0.876306
  34 0.67 1067.38 0.853902
  35 0.69 937.174 0.74974
  36 0.71 696.027 0.556821
  37 0.73 404.319 0.323455
  38 0.75 173.703 0.138962
  39 0.77 56.3109 0.0450488
  40 0.79 13.8438 0.011075
  41 0.81 2.72063 0.00217651
  42 0.83 0.613571 0.000490857
  43 0.85 0.220531 0.000176424
  44 0.87 0.0637551 5.10041e-05
  45 0.89 0.00555102 4.44082e-06
  46 0.91 0.000204082 1.63265e-07
  47 0.93 0 0
  48 0.95 0 0
  49 0.97 0 0
  50 0.99 0 0
