5.000000000000000000e-01 6.978314243320621335e-01
5.494464013827623505e-01 6.659953675696017594e-01
6.037826959849352804e-01 6.307116681920280632e-01
6.634924590522102150e-01 5.893063079922027381e-01
7.291070879416733375e-01 5.465034965886939045e-01
8.012105313844353205e-01 5.002283021442496258e-01
8.804444864382976466e-01 4.507813845029239874e-01
9.675141093816338467e-01 3.986817763157894379e-01
1.063194291373574130e+00 3.447662129629630035e-01
1.168336554731812749e+00 2.901922012670565265e-01
1.283876631202658380e+00 2.353125290060660846e-01
1.410842789667449138e+00 1.839285095770310241e-01
1.550364987399195149e+00 1.369920934364990406e-01
1.703684926312639014e+00 9.619743934256590190e-02
1.872167103705072222e+00 6.254057264815242323e-02
2.057310955835881305e+00 3.729937299170678344e-02
2.260764202418712454e+00 1.994708518292327357e-02
2.484337510787864911e+00 9.264206587324120418e-03
2.730020610245203372e+00 3.653127164349454122e-03
3.000000000000000444e+00 1.164971181141629796e-03
